Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,Sr,Cd,Sn,Ba,Hg,Pb,name
2869.08889,1392.95556,135.27778,1038.34444,30485.52222,462.22222,1.0,3.14074,1822.41111,10775.97778,61.28889,527.55556,2923.55556,1.88889,5.11111,5.48889,1.0,65.73333,25.11111,APP.0_0
2911.97778,1378.73333,142.27778,1138.67778,32151.63333,439.55556,1.0,4.17037,1950.63333,10103.97778,69.84444,536.55556,2974.33333,2.33333,2.55556,2.05185,3.66667,62.73333,27.0,APP.0_1
2676.42222,1244.4,126.61111,994.56667,27869.63333,521.77778,1.0,1.0,1701.74444,9589.86667,60.84444,545.33333,2850.55556,1.88889,3.44444,4.45926,4.77778,66.4,27.44444,APP.0_2
2883.64444,1301.95556,125.94444,834.45556,30511.52222,326.66667,1.21481,3.14074,1723.41111,9127.86667,56.95556,491.0,2770.88889,1.55556,3.44444,2.8,2.88889,61.62222,30.22222,APP.0_3
2909.42222,1242.28889,137.61111,950.45556,28632.52222,238.33333,1.0,4.36296,1643.07778,8833.86667,57.51111,478.0,2620.11111,2.22222,5.11111,5.2963,3.77778,52.06667,25.88889,APP.0_4
2469.2,1072.62222,121.83333,896.34444,24380.3,252.88889,1.0,6.22963,1475.52222,8613.86667,64.17778,478.11111,2564.88889,2.77778,3.44444,8.42963,8.44444,44.51111,28.22222,APP.0_5
2541.53333,1104.06667,133.61111,857.56667,25652.07778,468.55556,1.0,3.14074,1463.18889,8487.42222,53.17778,442.88889,2394.33333,2.33333,6.66667,6.18519,2.88889,48.17778,24.22222,APP.0_6
2787.31111,1347.51111,133.27778,927.23333,28822.52222,174.77778,1.0,3.05926,1626.3,8324.75556,54.4,436.66667,2579.66667,2.77778,2.55556,3.54815,1.88889,61.62222,28.33333,APP.0_7
2486.2,1158.4,123.16667,728.56667,20877.96667,226.11111,1.0,1.0,1417.07778,8104.42222,49.28889,436.88889,2191.77778,2.22222,4.22222,5.04444,1.88889,44.17778,25.33333,APP.0_8
2431.53333,1073.62222,134.83333,803.34444,23558.07778,501.44444,1.32222,4.17037,1372.07778,7952.31111,56.95556,422.22222,2129.88889,2.55556,1.0,7.48889,1.88889,46.06667,27.22222,APP.0_9
3466.46667,1458.0,218.21111,1172.26667,37940.13333,3612.55556,1.11111,15.37037,1422.51111,9898.37778,71.71111,1890.0,2800.7,4.1963,4.22222,17.66667,19.22222,35.31111,40.66667,APP.1_0
3226.02222,1700.66667,196.65556,1061.37778,36169.57778,4569.77778,1.44444,11.81481,1409.28889,9405.04444,67.82222,1909.0,2627.81111,2.31481,2.66667,10.88889,20.11111,31.64444,37.66667,APP.1_1
3243.8,1333.88889,195.65556,1076.93333,35547.46667,3166.0,1.22222,10.59259,1393.73333,8922.15556,58.93333,1612.44444,2546.58889,3.2,5.88889,10.33333,23.11111,25.97778,54.55556,APP.1_2
3198.91111,1144.88889,202.32222,1141.48889,35733.02222,4001.11111,1.55556,9.67407,1391.95556,8743.6,61.37778,1662.77778,2582.25556,3.41852,1.77778,14.0,18.22222,33.75556,45.22222,APP.1_3
3147.13333,1345.88889,228.43333,1061.37778,34872.35556,3017.0,1.11111,16.28889,1394.73333,8581.15556,65.93333,1716.11111,2639.81111,1.65185,6.77778,13.33333,21.22222,26.75556,50.11111,APP.1_4
3211.57778,1430.77778,232.32222,1074.48889,34693.57778,3245.33333,1.22222,7.34074,1410.62222,8302.82222,61.04444,1751.33333,2687.03333,2.98519,2.55556,11.44444,18.11111,28.53333,63.22222,APP.1_5
3059.35556,1333.88889,191.65556,1051.26667,32239.02222,3434.44444,1.44444,8.45185,1288.62222,8045.82222,61.26667,1590.77778,2553.92222,3.3037,4.11111,15.66667,20.11111,23.08889,46.11111,APP.1_6
