Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,Sr,Cd,Sn,Ba,Hg,Pb,name
2869.08889,1392.95556,135.27778,1038.34444,30485.52222,462.22222,1.0,3.14074,1822.41111,10775.97778,61.28889,527.55556,2923.55556,1.88889,5.11111,5.48889,1.0,65.73333,25.11111,APP.0_0
2911.97778,1378.73333,142.27778,1138.67778,32151.63333,439.55556,1.0,4.17037,1950.63333,10103.97778,69.84444,536.55556,2974.33333,2.33333,2.55556,2.05185,3.66667,62.73333,27.0,APP.0_1
2676.42222,1244.4,126.61111,994.56667,27869.63333,521.77778,1.0,1.0,1701.74444,9589.86667,60.84444,545.33333,2850.55556,1.88889,3.44444,4.45926,4.77778,66.4,27.44444,APP.0_2
2885.2,1292.84444,122.16667,891.23333,30576.18889,283.55556,1.10741,3.14074,1726.52222,9127.86667,57.84444,492.11111,2799.77778,1.66667,3.44444,2.4963,2.88889,64.62222,28.88889,APP.0_3
2834.97778,1257.4,134.94444,888.56667,27511.63333,328.66667,1.10741,5.39259,1654.18889,8833.86667,57.17778,485.11111,2568.33333,2.0,5.88889,6.6,4.66667,48.28889,28.55556,APP.0_4
2542.08889,1066.62222,128.27778,901.45556,25436.52222,205.66667,1.0,5.2,1461.3,8613.86667,63.62222,469.88889,2587.77778,2.88889,2.66667,7.42963,7.55556,45.28889,26.88889,APP.0_5
2561.64444,1113.17778,130.27778,842.12222,25931.41111,429.55556,1.0,3.14074,1425.96667,8487.42222,51.4,429.88889,2367.55556,2.33333,6.66667,5.88148,2.88889,51.51111,24.0,APP.0_6
2767.2,1338.4,136.61111,942.67778,28543.18889,213.77778,1.0,3.05926,1663.52222,8324.75556,56.17778,449.66667,2606.44444,2.77778,2.55556,3.85185,1.88889,58.28889,28.55556,APP.0_7
2528.64444,1181.62222,127.05556,769.78889,22018.07778,359.66667,1.10741,1.0,1449.63333,8104.42222,51.06667,438.33333,2217.66667,2.55556,4.22222,5.04444,1.88889,46.06667,24.66667,APP.0_8
2389.08889,1050.4,130.94444,762.12222,22417.96667,367.88889,1.21481,4.17037,1339.52222,7952.31111,55.17778,420.77778,2104.0,2.22222,1.0,7.48889,1.88889,44.17778,27.88889,APP.0_9
1260.41111,592.55556,104.17778,345.17778,9172.94444,29.55556,1.0,5.44444,681.72222,4819.48889,39.66667,237.0,1447.0,1.88889,4.22222,5.88889,5.66667,29.88889,27.68889,APP.10_0
1175.41111,542.0,105.28889,352.73333,8775.83333,66.22222,1.0,3.22222,663.61111,4557.15556,40.66667,236.55556,1457.88889,1.88889,3.44444,6.66667,6.55556,29.44444,30.68889,APP.10_1
1047.41111,610.66667,96.73333,347.62222,8400.61111,70.0,1.11111,1.0,602.83333,4447.15556,33.88889,208.88889,1327.44444,1.44444,1.77778,6.0,4.77778,20.11111,22.02222,APP.10_2
1158.74444,538.0,94.84444,391.62222,8628.27778,12.77778,1.0,7.66667,603.61111,4274.04444,41.33333,205.55556,1435.55556,2.33333,4.11111,4.55556,7.55556,20.66667,23.8,APP.10_3
1026.41111,528.0,107.73333,337.28889,8180.5,28.77778,1.0,4.33333,572.38889,4079.93333,39.0,215.55556,1279.66667,3.11111,2.55556,5.44444,9.55556,23.77778,27.8,APP.10_4
1130.96667,603.66667,125.4,399.28889,8967.05556,62.44444,1.0,12.11111,646.38889,3964.15556,40.0,228.66667,1391.33333,1.66667,2.66667,3.55556,6.44444,30.44444,28.15556,APP.10_5
1039.07778,549.22222,120.06667,365.51111,8189.16667,58.0,1.0,2.11111,546.16667,3880.48889,40.77778,196.11111,1173.0,2.33333,1.0,5.22222,28.22222,24.88889,35.35556,APP.10_6
