,C,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Rb,Sr,Zr,Cd,Sn,Ba,La,Hg,Pb,probka,short
APP.0.1,0.5990226487390747,0.2936636316105913,0.1339363835229722,0.0133923825550106,0.0117906302186721,0.0001177551185341,0.0047031182156102,9.7668731384361e-05,3.179439349023349,0.0421945405827306,0.0333993367976659,1.957161818306581e-06,0.0002245397306362,0.1862590711769489,9915.185658041935,0.0058659843513705,0.0012845374810191,0.0519318848856828,0.2954871450726403,0.0010426053858113,0.0040113042018129,0.0006278465209107,5.948564823148225e-06,0.0002770277919375,0.0002122210182073,0.0001244119615117,0.0,0.0058328590585645,0.002375135624829,APP0,APP
APP.0.2,0.6142143023988568,0.3103618535636948,0.1447581542067922,0.0144364035161371,0.0161174812123282,0.0001242344453403,0.0045264192626222,0.0001514617484043,3.2640680918592264,0.0918498433443639,0.0191127880047861,6.890620254954516e-06,0.0001131216742959,0.1955113850340382,8329.190721869381,0.0070620297153375,0.0012298088351764,0.0572493213756497,0.3194270449310231,0.0008666612108738,0.0049789320664263,0.0012459050631599,2.1627926871663545e-05,0.0001089016316214,0.0003046445620186,0.0003647105290719,2.5147842159118217e-06,0.0056098024122771,0.0030259822644836,APP0,APP
APP.0.3,0.7072630528442593,0.3352009783151082,0.1497215828793459,0.0165264606708192,0.0143947811367614,5.932399675515715e-05,0.0048096029264546,0.0002622001428728,3.4325317667600994,0.0396104712952947,0.0371187664022178,1.4811070079699931e-05,6.729538932854542e-05,0.1924742437012368,7665.484907366839,0.0067392442463378,0.0012213383581436,0.0581226306156878,0.3054321761648957,0.0011053591245674,0.0048163616128045,0.0014735942837091,5.917199696367558e-05,0.0002394838655692,0.0003970664166823,8.68964369890788e-06,3.643364616293876e-06,0.0060918728116817,0.0029269555968507,APP0,APP
APP.0.4,0.6385975383631948,0.3358318070020888,0.1416721601823431,0.0165409689662457,0.0155255363978848,6.298471837932988e-05,0.0043968812881932,0.0001996347083854,3.1575438704340058,0.0595941912306369,0.0435677014722823,4.645910792901918e-06,5.121833255537394e-06,0.1900466824747572,7197.901605866384,0.0065910203495658,0.000785490855851,0.05755716673506,0.2901835511638673,0.0009176740182893,0.0044890230191755,0.0018642163621552,6.756257123111594e-05,9.212676308925807e-05,0.0003796651256769,7.578011729746449e-05,1.9400207176681376e-06,0.006410047356637,0.0028895085871296,APP0,APP
APP.0.5,0.5180119402708184,0.3107020137350174,0.134179827962333,0.0164666249293212,0.0161518399335428,7.168653238338387e-05,0.0043282250878995,0.0003048189837,2.83214863856716,0.0696823981674433,0.0426062231129196,3.820812722743052e-06,6.443298846829731e-05,0.1732137080469942,6700.050369710987,0.0067722168726349,0.0011145992705318,0.0567378008397026,0.2803908407866455,0.0011465188728122,0.0039451801804792,0.0016969927378072,8.114533965021946e-05,0.000257278663806,0.000339109306053,7.146923813118205e-05,2.112702297381992e-06,0.0050825849098272,0.0035362460987504,APP0,APP
APP.0.6,0.6115988073429077,0.3522975327649802,0.1397368794086613,0.0176542124033054,0.0171878955674172,8.267953355422595e-05,0.0047815886084923,0.0002504960376097,3.2574763937583224,0.0411468517192968,0.0265849910294792,0.0,1.1965765510030416e-05,0.1884626542067023,6161.988012235205,0.006990192015678,0.0019023933731805,0.0554581159151172,0.2991123566737655,0.0010766019856272,0.0047357525176772,0.0015870573795165,5.173761722001071e-05,0.0002176190112121,0.0003331413814356,9.98398489479805e-05,0.0,0.0058253399048163,0.0037830849664521,APP0,APP
APP.0.7,0.5790912831401334,0.345885050368507,0.1463205668557144,0.018621873232808,0.0222214004921748,0.0001579448980084,0.0046695616815819,0.0002557324143928,3.114441934992661,0.0763286667330246,0.0745465666505279,3.3638851988287302e-06,0.0001542053660909,0.1949136527479485,5768.8124428555175,0.006878503244085,0.0020394040417914,0.060072719023823,0.3103084024033739,0.0011110204051235,0.0047141640849315,0.0020796587215572,9.491413050033914e-05,0.0001152527401444,0.0003048134636831,0.0001786490576799,3.6309236200974735e-06,0.0063433219558474,0.0036108281212807,APP0,APP
APP.0.8,0.56253580935247,0.3480398576213059,0.1426421674598044,0.0189729624454723,0.016554574933052,0.0001176950855577,0.0043363162492849,0.0002027155582677,3.098912050174525,0.0542143477290011,0.0781094942191736,5.897730778290258e-06,8.625879547375886e-05,0.1994383335246463,5390.828065077988,0.0072386399156747,0.00164495336801,0.0597388038622525,0.3044200974125028,0.0010084698969813,0.0045498183509521,0.0017130772939077,9.315339479274828e-05,0.0001746145815634,0.0004060633343857,0.0001770694942327,2.5903401241040185e-06,0.0062289385032406,0.0037430558858397,APP0,APP
APP.0.9,0.636176259552234,0.3615082789273072,0.144869957370709,0.0178231614644834,0.0186831415634112,7.697675512438514e-05,0.0040187455519587,0.0002135185544924,3.0610707429103736,0.0483439347479645,0.0737316919259749,7.633423125369906e-06,2.222436208837737e-05,0.193927892979367,4976.491788840917,0.0071813887991165,0.0012365091596496,0.055809603334305,0.3000026225028018,0.0009520459336896,0.0044830356333164,0.0021800287199944,4.1931901589671887e-05,0.0002679090150808,0.0005323301511927,0.0001229918960149,0.0,0.0056370813801887,0.0033228253262054,APP0,APP
APP.0.10,0.6059757344519805,0.3582431174042172,0.1491476609856022,0.0182936751999693,0.0223555448574462,0.0001126740605081,0.0044708204448004,0.0002132754212736,3.163827593547331,0.0771161615592324,0.0448956792808896,7.261111887039685e-06,3.594017067567418e-05,0.1973659501842077,4492.043530775131,0.0078612492180723,0.0014923160158286,0.0577885399842164,0.315669332985086,0.001004984263039,0.0044369024424855,0.0022830258646556,8.121351322183054e-05,0.0006842334143483,0.0004285901866522,0.0002441380446028,1.5543124352479223e-06,0.0067019472475835,0.0042299929268539,APP0,APP
