Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,Sr,Cd,Sn,Ba,Hg,Pb,name
351.9,154.33333,4.98148,19.76667,300.54444,109.66667,1.0,1.0,4.81481,362.9,1.11111,115.33333,17.0,1.55556,23.64444,10.44444,1.88889,2.8963,4.55556,Cop_202_0
341.45556,145.22222,3.53704,52.65185,292.43333,13.22222,1.0,1.0,4.44444,326.34444,1.0,85.11111,15.33333,1.66667,41.52222,7.33333,1.0,1.14074,2.22222,Cop_202_1
329.78889,147.22222,3.42593,44.31481,291.21111,17.22222,1.0,2.11111,4.14815,300.23333,1.0,91.44444,15.0,2.33333,25.08519,6.11111,1.88889,1.14074,3.66667,Cop_202_2
358.12222,140.33333,9.24074,32.65556,294.21111,99.33333,1.0,1.0,3.62963,268.9,1.33333,121.55556,16.88889,1.55556,31.97037,8.88889,1.0,21.5037,4.88889,Cop_202_3
319.78889,134.22222,2.22222,24.87778,257.43333,5.0,1.0,1.0,3.22222,268.9,1.0,93.33333,10.44444,2.33333,43.41852,5.11111,1.0,1.28148,5.0,Cop_202_4
345.23333,140.0,1.92593,12.65926,302.87778,5.0,1.0,2.11111,3.81481,268.9,1.0,97.22222,14.55556,2.0,45.74444,4.11111,1.0,1.58519,2.33333,Cop_202_5
306.56667,140.33333,3.09259,15.21481,257.43333,5.0,1.0,1.0,5.55556,268.9,1.0,97.55556,11.22222,2.11111,29.52963,4.33333,1.0,1.42222,4.0,Cop_202_6
334.12222,126.22222,2.53704,2.9963,277.21111,1.0,1.0,2.11111,3.92593,268.9,1.0,109.77778,16.44444,1.66667,37.97037,5.55556,1.88889,3.03704,3.33333,Cop_202_7
361.78889,145.33333,2.44444,28.1037,289.43333,1.0,1.0,1.0,4.59259,221.9,1.22222,111.0,15.66667,1.55556,40.74815,7.33333,1.88889,1.86667,3.44444,Cop_202_8
326.12222,134.11111,3.12963,9.54444,285.21111,17.11111,1.0,2.11111,2.92593,221.9,1.11111,118.22222,22.22222,1.55556,30.41852,4.44444,1.0,3.95556,5.22222,Cop_202_9
902.97778,1278.0,166.33333,227.87778,3800.73333,14.77778,1.11111,3.22222,419.2,23556.42222,7.11111,10450.33333,2418.06667,24.88889,83.79259,3511.0,18.44444,25.02963,2631.11111,Cop_367_0
680.53333,1021.66667,122.11111,102.28889,3842.95556,15.0,1.11111,2.11111,376.53333,16367.2,10.55556,8552.44444,1412.95556,19.44444,100.93333,3263.66667,11.44444,38.03333,2406.55556,Cop_367_1
837.75556,640.0,120.88889,100.12963,3088.95556,9.0,1.0,1.0,375.2,13661.2,14.55556,7382.22222,2140.73333,17.88889,66.34815,2144.66667,2.88889,20.58889,1022.0,Cop_367_2
524.64444,805.11111,140.66667,145.32222,2698.51111,11.0,1.11111,3.22222,562.86667,11906.2,9.66667,7184.44444,1962.51111,18.88889,85.15556,2740.77778,4.66667,39.92222,1747.22222,Cop_367_3
691.86667,657.33333,147.77778,79.74815,2263.95556,11.11111,1.0,3.22222,269.97778,10603.75556,21.77778,5773.33333,1532.28889,9.88889,78.26667,1923.88889,5.66667,20.25556,1071.0,Cop_367_4
659.64444,918.44444,68.88889,140.78148,2362.73333,6.88889,1.0,1.0,337.2,9616.86667,4.22222,5279.22222,1567.62222,14.11111,79.82222,2030.33333,7.55556,17.47407,1643.44444,Cop_367_5
343.42222,1139.22222,82.55556,115.4,1615.84444,8.88889,1.11111,2.11111,191.2,8466.75556,9.66667,3679.22222,642.4,11.44444,96.6,1442.11111,2.88889,16.58148,635.11111,Cop_367_6
572.53333,433.11111,138.22222,69.12963,1757.06667,13.22222,1.11111,2.11111,168.86667,7637.42222,7.77778,5649.22222,1768.84444,9.44444,72.45926,1825.66667,4.66667,19.03333,1376.55556,Cop_367_7
233.86667,411.0,46.66667,83.4963,1790.62222,5.0,1.0,3.22222,127.53333,6939.86667,4.44444,3539.55556,359.62222,6.55556,67.04444,1505.66667,1.88889,17.02963,702.44444,Cop_367_8
192.64444,315.0,52.66667,59.08148,754.28889,9.11111,1.0,2.11111,133.75556,6456.42222,3.44444,1998.66667,159.17778,4.0,76.01481,1156.77778,3.77778,13.25185,531.66667,Cop_367_9
13138.48889,148.22222,29.86667,75.27778,2271.53333,193.77778,1.0,2.11111,147.48889,2145.97778,3.33333,154.22222,188.0,4.77778,62.02222,4.66667,2.88889,19.71111,28.88889,Cop_61_0
12720.15556,102.0,23.86667,67.44444,2353.31111,45.88889,1.0,5.44444,109.48889,1994.31111,3.33333,138.44444,199.66667,3.77778,64.57778,4.77778,1.88889,19.15556,16.55556,Cop_61_1
10873.15556,118.0,26.64444,52.22222,2060.42222,633.0,1.11111,5.44444,114.48889,1920.42222,4.44444,134.33333,209.66667,4.66667,69.91111,8.22222,1.88889,14.37778,31.22222,Cop_61_2
13059.26667,128.11111,35.42222,46.77778,2414.2,314.77778,1.0,3.22222,94.82222,1831.64444,3.22222,161.22222,144.88889,5.11111,77.68889,2.88889,3.77778,18.53333,31.55556,Cop_61_3
14352.93333,99.77778,33.53333,80.27778,2593.64444,216.33333,1.0,2.11111,80.04444,1742.75556,2.22222,168.55556,176.88889,5.44444,65.11852,2.0,1.0,21.53333,25.22222,Cop_61_4
13341.15556,124.11111,28.97778,13.77778,2365.31111,150.44444,1.0,2.11111,83.48889,1694.86667,3.0,134.44444,140.33333,2.77778,69.57778,3.44444,1.0,15.48889,22.77778,Cop_61_5
13227.26667,101.66667,27.86667,36.55556,2488.86667,166.88889,1.0,3.22222,92.82222,1679.2,3.22222,159.11111,173.55556,3.66667,75.91111,2.55556,1.88889,17.93333,26.66667,Cop_61_6
14177.26667,99.88889,25.75556,90.66667,2496.31111,93.11111,1.0,4.33333,92.15556,1616.53333,2.88889,129.0,159.0,4.11111,69.68889,4.11111,1.0,15.2,18.55556,Cop_61_7
12739.15556,94.88889,19.64444,39.33333,2353.53333,385.11111,1.0,1.0,94.82222,1600.86667,3.22222,153.66667,176.11111,4.66667,72.35556,1.66667,1.0,19.71111,25.22222,Cop_61_8
13548.48889,83.77778,19.31111,21.16667,2458.75556,52.11111,1.0,6.55556,95.26667,1569.53333,2.11111,145.0,125.11111,3.55556,58.46667,2.55556,1.88889,17.71111,17.88889,Cop_61_9
714.07778,239.88889,98.38889,88.72593,4580.02222,103.0,1.0,3.22222,40.88889,4913.05556,1.33333,784.13333,20.33333,6.22222,46.6963,23.0,7.55556,270.8,136.53333,Cop_70_0
660.85556,230.0,100.94444,53.91852,3790.35556,271.66667,1.0,4.33333,30.55556,4703.16667,1.77778,763.46667,16.88889,7.55556,48.02222,12.66667,1.88889,255.13333,86.2,Cop_70_1
675.74444,277.55556,71.61111,46.14074,4034.57778,425.55556,1.0,6.55556,36.33333,4566.38889,2.22222,674.46667,18.22222,7.22222,48.08148,5.0,4.77778,219.46667,95.2,Cop_70_2
666.07778,253.33333,102.94444,53.80741,3849.24444,223.88889,1.0,1.0,39.55556,4467.16667,2.11111,620.13333,17.33333,8.33333,34.31111,16.44444,6.77778,155.8,93.53333,Cop_70_3
634.96667,230.88889,68.27778,88.04444,3469.68889,66.55556,1.0,3.22222,30.66667,4335.72222,1.66667,659.46667,16.0,6.77778,60.97037,12.77778,6.66667,120.24444,141.08889,Cop_70_4
651.41111,227.11111,72.83333,76.14815,3983.02222,97.11111,1.11111,2.11111,30.11111,4194.61111,2.11111,631.35556,18.33333,7.55556,65.57778,7.44444,5.66667,169.57778,87.86667,Cop_70_5
592.3,288.77778,68.72222,93.15556,3437.02222,53.88889,1.0,4.33333,30.22222,4141.61111,1.66667,674.68889,18.55556,6.55556,58.35556,8.22222,5.55556,132.35556,88.64444,Cop_70_6
606.18889,235.11111,71.16667,30.80741,3733.8,308.88889,1.0,4.33333,28.88889,4073.5,1.33333,579.24444,16.33333,5.22222,56.68889,13.88889,2.77778,57.13333,135.42222,Cop_70_7
719.18889,234.88889,74.38889,29.7037,4099.13333,49.77778,1.0,1.0,30.44444,3984.72222,2.22222,641.46667,25.22222,7.44444,57.63704,6.22222,6.66667,90.35556,67.08889,Cop_70_8
678.41111,282.55556,75.61111,76.14815,3901.57778,125.55556,1.0,1.0,30.55556,3874.16667,1.77778,581.46667,18.11111,5.33333,68.02222,11.88889,10.55556,220.24444,94.31111,Cop_70_9
