,Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,As,Sr,Cd,Sn,Ba,Hg,Pb,name
1,3197.55,538.0,404.0,55.3,4000.4,54.2,0.2,14.3,187.2,14232.55,2.7,167.95,96.75,0.0,15.55,0.0,9.1,12.65,17.5,1033.0,BUW11_0
2,3127.5,568.75,365.35,54.25,3847.8,401.05,0.1,18.85,191.3,13683.1,4.1,149.8,97.2,0.05,10.0,0.0,12.5,20.5,25.35,1266.5,BUW11_1
3,2928.95,655.05,394.8,58.2,3437.85,1469.15,0.1,6.5,186.2,13195.95,5.4,144.15,114.35,0.1,13.0,1.0,7.65,15.45,31.6,921.25,BUW11_2
4,2779.4,638.0,389.95,54.65,3291.0,1681.95,0.1,17.55,187.85,12844.05,8.45,126.3,157.35,0.05,11.2,0.5,10.85,7.75,18.3,815.9,BUW11_3
5,3087.4,658.0,373.75,151.9,3553.1,317.85,0.1,19.5,221.3,12427.9,6.35,125.2,130.9,0.0,10.8,0.0,11.75,1.1,11.05,711.3,BUW11_4
6,3014.65,676.65,370.85,73.35,3443.4,896.45,0.0,16.25,220.25,12135.55,8.6,99.1,131.4,0.05,10.4,0.0,7.9,7.75,6.9,695.85,BUW11_5
7,2949.1,632.9,354.75,121.2,3473.95,624.1,0.0,8.45,202.35,11931.75,6.15,108.45,136.25,0.0,12.95,0.0,12.8,5.5,12.45,812.05,BUW11_6
8,3267.45,570.35,363.8,73.35,3748.6,316.7,0.05,14.95,175.4,11713.05,2.85,95.95,90.55,0.05,8.55,0.0,13.6,6.05,4.05,691.35,BUW11_7
9,2708.9,535.65,353.05,105.1,3304.4,351.3,0.05,7.15,200.7,11574.3,5.45,117.7,135.3,0.0,11.55,0.5,15.1,7.15,9.15,668.1,BUW11_8
10,2876.3,681.2,332.75,86.0,3407.0,1649.75,0.0,13.65,180.45,11444.45,7.0,104.3,122.65,0.1,11.45,0.0,9.2,9.35,17.8,786.9,BUW11_9
