Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,As,Sr,Cd,Sn,Ba,Hg,Pb,name
880.35,828.7,321.05,145.95,3235.05,4191.45,0.8,18.2,18.05,2657.85,0.1,25.0,19.6,0.0,6.4,0.0,53.05,11.2,2.0,12.9,BUWo2_0
956.85,639.4,167.8,192.0,3537.1,3427.55,0.35,17.6,5.35,1973.5,0.0,33.05,14.95,0.0,7.65,0.0,28.5,7.15,2.65,8.1,BUWo2_1
926.05,462.8,179.7,131.45,3191.75,3919.75,0.2,9.1,3.15,1666.65,0.0,13.65,7.2,0.0,7.75,0.0,10.4,5.5,1.2,9.6,BUWo2_2
1023.15,408.25,242.45,186.55,3394.9,1589.6,0.05,12.35,6.95,1498.6,0.0,18.85,21.25,0.0,8.7,0.0,12.1,10.45,2.4,11.55,BUWo2_3
871.95,422.45,189.4,116.95,3102.1,2619.8,0.0,18.2,5.4,1351.2,0.0,16.1,6.65,0.0,6.9,0.0,3.5,8.8,0.0,5.35,BUWo2_4
923.25,456.6,155.6,135.1,2981.2,2019.6,0.35,15.0,6.1,1271.5,0.0,22.3,14.75,0.0,5.5,0.0,6.5,2.2,1.6,5.9,BUWo2_5
939.3,516.25,202.8,147.4,3429.55,3118.3,0.2,8.45,7.55,1233.0,0.0,27.15,17.2,0.0,8.9,0.0,10.65,4.95,1.0,22.7,BUWo2_6
900.2,259.5,187.15,152.1,2895.2,1151.0,0.1,18.9,6.85,1142.15,0.0,13.4,22.3,0.0,7.15,0.5,4.35,6.6,0.4,9.0,BUWo2_7
987.35,240.75,157.6,155.4,3276.1,2434.6,0.1,13.1,9.25,1106.3,0.0,29.35,19.15,0.05,9.6,0.0,5.75,7.15,1.2,23.7,BUWo2_8
862.05,256.7,107.9,106.05,2552.05,1896.95,0.0,11.7,0.7,1059.15,0.0,10.8,11.35,0.0,6.85,0.0,8.4,5.5,1.0,6.65,BUWo2_9
