,Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,As,Sr,Cd,Sn,Ba,Hg,Pb,name
1,2161.35,455.25,301.85,103.0,4134.65,2287.15,0.2,13.0,76.05,9353.85,4.9,44.35,69.1,0.0,16.35,0.0,7.1,11.0,3.35,1005.4,BUWo8_0
2,2273.65,550.5,313.75,209.4,4526.45,2866.15,0.25,12.4,95.9,8742.85,5.25,50.8,72.45,0.0,16.0,0.0,10.25,3.3,2.55,805.45,BUWo8_1
3,2166.75,485.9,297.25,170.15,4302.95,4461.15,0.05,12.35,64.35,8518.65,5.35,49.05,68.65,0.0,17.75,0.0,10.05,5.5,1.85,790.45,BUWo8_2
4,2370.8,544.35,319.05,223.0,4592.2,2595.6,0.15,17.65,87.65,8267.7,8.25,52.5,74.85,0.0,16.8,0.0,9.4,9.9,3.4,781.55,BUWo8_3
5,2291.8,505.65,342.45,270.85,4633.5,3388.25,0.25,20.15,74.4,7975.5,7.35,49.3,76.6,0.0,19.85,0.0,6.05,11.55,4.4,611.0,BUWo8_4
6,2188.8,516.35,303.9,197.25,4326.25,2636.95,0.2,11.7,73.45,7801.5,5.15,53.6,61.0,0.05,21.15,0.0,7.9,6.05,3.0,669.0,BUWo8_5
7,2233.6,535.75,314.1,215.75,4421.85,1805.05,0.5,13.7,80.55,7562.4,6.05,49.55,57.7,0.1,19.3,0.0,9.6,8.85,4.1,589.45,BUWo8_6
8,2219.05,476.15,320.5,253.45,4619.2,2487.05,0.15,18.25,75.4,7361.8,6.7,37.05,75.05,0.1,19.75,0.0,6.85,6.05,1.7,456.15,BUWo8_7
9,2266.55,506.75,301.15,198.35,4263.65,2570.85,0.1,17.55,83.7,7143.45,5.65,58.2,51.35,0.0,14.4,0.0,2.75,11.55,3.5,535.75,BUWo8_8
10,2299.3,495.45,328.0,233.15,4828.45,2659.0,0.0,20.2,77.3,7031.3,5.65,43.35,74.3,0.05,20.4,0.0,5.85,8.3,3.95,427.8,BUWo8_9
