Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,Sr,Cd,Sn,Ba,Hg,Pb,name
1405.18889,97.92222,48.92222,164.97778,2362.77778,1362.11111,1.0,18.64444,36.17778,1387.46667,1.11111,118.11111,15.0,4.22222,1.0,6.88889,35.33333,2.71111,35.56667,Mer_10_0
1594.07778,211.36667,87.81111,197.2,3009.0,1847.22222,1.0,10.07407,79.84444,1243.24444,1.0,108.66667,20.11111,3.77778,1.0,6.62963,17.0,4.14815,39.9,Mer_10_1
1420.3,92.92222,60.92222,161.75556,2336.22222,480.44444,1.0,8.83704,51.62222,1086.24444,1.0,50.88889,7.77778,3.66667,1.0,6.74074,8.22222,33.86667,71.67778,Mer_10_2
1602.3,179.81111,84.7,174.64444,2625.88889,1979.11111,1.0,15.96296,54.28889,961.35556,1.0,100.55556,15.77778,5.11111,1.0,7.7037,10.77778,24.32593,47.9,Mer_10_3
1454.41111,147.25556,55.03333,155.31111,2302.22222,753.0,1.0,18.85185,38.17778,823.68889,1.0,59.44444,21.11111,4.0,1.0,8.55556,8.22222,4.42963,30.56667,Mer_10_4
1516.52222,147.14444,52.7,129.53333,2797.33333,436.66667,1.0,20.2963,44.28889,810.68889,1.0,74.77778,14.0,7.22222,1.0,5.81481,3.33333,1.27407,23.34444,Mer_10_5
1552.96667,123.47778,68.58889,177.86667,2470.66667,495.88889,1.0,11.51852,40.62222,746.02222,1.0,36.33333,5.77778,5.33333,1.0,8.0,8.0,1.99259,70.05926,Mer_10_6
1364.41111,82.7,40.92222,89.91111,2149.33333,524.77778,1.0,6.15556,40.73333,700.13333,1.11111,37.44444,14.55556,3.0,1.0,12.40741,11.88889,3.98519,34.12222,Mer_10_7
1555.18889,130.81111,68.14444,115.25185,2786.22222,1117.33333,1.22222,14.2,69.28889,700.13333,1.0,40.44444,8.11111,7.22222,1.0,13.03704,1.0,28.47407,63.45556,Mer_10_8
1515.63333,111.92222,93.58889,157.14074,2472.88889,388.11111,1.0,14.51852,49.06667,700.13333,1.0,37.88889,11.22222,2.55556,1.0,13.07407,10.55556,8.48148,134.67778,Mer_10_9
3034.62222,645.46667,405.02222,140.48889,3784.64444,961.0,1.0,23.33333,218.18889,14976.72222,5.55556,164.11111,109.84444,15.33333,1.0,15.66667,19.88889,24.94444,1011.23333,Mer_11_0
3120.51111,624.02222,372.68889,68.31852,3833.97778,992.88889,1.0,12.11111,183.96667,14267.83333,5.77778,160.11111,112.51111,15.44444,1.0,11.11111,19.88889,21.05556,1083.56667,Mer_11_1
3330.06667,579.91111,384.13333,114.71111,4114.64444,28.77778,1.22222,20.66667,210.96667,13748.72222,4.55556,169.88889,102.73333,10.55556,1.0,14.33333,26.22222,29.61111,1205.9,Mer_11_2
2989.84444,656.91111,396.91111,199.45926,3429.2,413.66667,1.0,13.44444,206.52222,13335.38889,7.66667,142.77778,137.73333,14.0,2.0,12.55556,14.0,40.72222,962.67778,Mer_11_3
3033.84444,660.57778,410.8,157.57037,3602.64444,2023.55556,1.0,20.44444,178.3,13000.61111,6.33333,128.44444,136.28889,12.33333,3.11111,14.0,11.66667,16.61111,906.45556,Mer_11_4
2913.4,597.57778,348.57778,124.37778,3319.64444,298.0,1.0,19.0,184.74444,12744.72222,7.44444,118.11111,132.17778,11.66667,1.0,14.33333,3.33333,17.55556,822.9,Mer_11_5
3142.06667,622.8,368.02222,246.82222,3704.42222,221.11111,1.0,22.0,227.07778,12495.5,7.44444,118.44444,134.17778,10.44444,1.0,7.11111,4.44444,16.0,587.01111,Mer_11_6
2672.62222,637.91111,342.35556,143.71111,3299.64444,1369.88889,1.0,15.11111,188.52222,12298.05556,7.77778,100.77778,127.73333,13.11111,1.0,18.11111,3.22222,13.44444,764.23333,Mer_11_7
2990.62222,541.91111,387.46667,127.6,3577.53333,855.77778,1.0,12.11111,188.63333,12088.16667,4.22222,113.0,100.51111,11.22222,1.0,15.11111,14.0,19.0,770.56667,Mer_11_8
2843.95556,611.24444,370.46667,130.82222,3343.75556,616.55556,1.0,11.88889,175.3,11904.72222,7.44444,103.77778,137.28889,12.88889,1.0,14.11111,5.55556,25.38889,792.23333,Mer_11_9
1007.71111,1185.22222,635.97778,166.37778,1781.2,123299.0,1.20741,29.22222,21.28889,17540.78889,1.0,30.55556,60.88889,31.55556,1.0,13.55556,24.77778,8.66667,54.86667,Mer_12_0
1168.82222,1043.66667,727.75556,129.85556,2006.2,128382.33333,1.20741,19.33333,16.28889,15386.45556,1.0,34.22222,65.88889,35.0,1.0,13.44444,23.77778,6.0,38.2,Mer_12_1
1031.26667,1118.44444,539.64444,153.48889,1929.53333,102639.77778,1.0,9.22222,16.06667,14217.9,1.0,30.0,48.88889,27.0,1.0,16.66667,24.88889,6.55556,39.53333,Mer_12_2
924.48889,733.11111,459.64444,107.3,2408.64444,73171.77778,1.0,16.33333,15.4,12983.78889,1.0,24.55556,26.55556,27.88889,1.0,17.44444,19.0,6.77778,38.21481,Mer_12_3
962.71111,594.33333,361.64444,152.41111,3257.2,61726.88889,1.41481,13.44444,12.28889,11500.34444,1.11111,21.0,22.77778,14.44444,1.0,11.33333,17.77778,3.11111,37.99259,Mer_12_4
964.71111,695.33333,371.42222,155.63333,2939.31111,63443.33333,1.0,12.0,8.20741,10732.78889,1.0,21.44444,37.88889,16.55556,1.0,11.33333,17.66667,5.33333,29.08889,Mer_12_5
692.6,454.22222,261.08889,107.31111,1946.75556,48017.11111,1.41481,12.33333,8.06667,10181.67778,1.0,21.11111,25.88889,11.33333,1.0,8.55556,7.88889,3.0,12.1037,Mer_12_6
614.37778,452.88889,348.53333,179.26667,1368.64444,57605.11111,1.0,10.66667,9.62222,9748.34444,1.0,19.44444,18.0,11.55556,1.0,8.88889,15.55556,3.11111,76.64444,Mer_12_7
709.48889,553.88889,322.64444,127.71111,1898.86667,59047.66667,1.0,16.33333,9.87407,9302.78889,1.0,14.11111,21.88889,14.0,1.0,12.11111,25.0,4.0,58.99259,Mer_12_8
746.15556,518.55556,321.31111,159.93333,1547.53333,43347.0,1.20741,5.11111,9.51111,8856.34444,1.0,19.66667,28.88889,15.55556,1.0,15.44444,9.33333,3.66667,27.42222,Mer_12_9
1147.51111,296.23333,165.65556,186.57037,2189.01111,2132.22222,1.0,15.12963,21.2,3896.93333,1.0,453.66667,31.01111,6.66667,3.0,9.77778,24.88889,4.5,482.1037,Mer_1_0
1290.06667,303.9,128.87778,219.76296,2142.34444,2207.33333,1.32593,29.55556,18.82222,3175.82222,1.0,317.77778,19.34444,6.22222,1.0,19.88889,11.55556,4.16667,433.64444,Mer_1_1
1063.4,232.01111,134.1,157.57037,2186.45556,2382.33333,1.0,9.35185,17.08889,2782.48889,1.0,334.44444,18.21852,6.88889,1.0,19.0,16.44444,4.05556,648.99259,Mer_1_2
1054.51111,545.45556,106.87778,214.6,1841.45556,2171.11111,1.0,9.7037,7.24444,2520.26667,1.0,55.11111,14.61481,6.44444,1.0,15.44444,4.44444,1.66667,44.65926,Mer_1_3
1118.73333,382.23333,141.76667,199.45926,1921.12222,1821.22222,1.0,31.98148,12.48889,2356.37778,1.0,114.55556,6.61481,4.55556,1.0,15.22222,9.33333,2.05556,161.32593,Mer_1_4
1109.73333,389.78889,138.21111,166.26667,2132.01111,2836.55556,1.0,10.7963,11.75556,2225.26667,1.11111,48.55556,25.17037,6.44444,1.0,17.0,7.88889,2.16667,9.88148,Mer_1_5
1066.51111,264.78889,142.76667,87.65185,2205.67778,2392.22222,1.0,8.61111,7.95556,2081.04444,1.0,112.66667,142.72593,5.66667,1.0,12.0,9.44444,4.0,90.97778,Mer_1_6
1158.95556,416.23333,133.1,196.23704,2819.34444,2348.0,1.0,17.42593,11.08889,1949.93333,1.11111,82.77778,18.9,7.33333,1.0,15.0,5.55556,3.61111,90.42222,Mer_1_7
1080.4,221.78889,91.98889,130.51111,2110.23333,1544.11111,1.21481,15.87037,9.08889,1877.82222,1.0,72.55556,28.5037,2.88889,1.0,9.77778,5.55556,2.16667,93.77037,Mer_1_8
972.84444,180.23333,103.87778,106.98519,1691.67778,1466.88889,1.0,7.16667,9.13333,1786.04444,1.0,101.55556,41.5037,3.88889,1.0,10.11111,6.77778,1.16667,101.11852,Mer_1_9
928.85556,1038.52222,380.71111,262.61111,3532.47778,4250.66667,2.33333,29.22222,26.97778,3347.57778,1.44444,28.66667,27.44444,11.22222,1.0,68.22222,22.66667,3.22222,15.02963,Mer_2_0
1019.85556,916.3,276.48889,223.51852,3439.81111,3382.66667,1.33333,14.88889,17.31111,2600.24444,1.0,31.11111,15.55556,8.22222,1.0,17.77778,12.77778,4.0,10.02963,Mer_2_1
918.07778,343.96667,195.26667,223.94444,3297.7,3276.55556,1.22222,10.66667,7.13333,2265.91111,1.0,23.44444,17.22222,9.55556,1.0,14.55556,6.77778,4.22222,11.36296,Mer_2_2
896.41111,414.74444,207.48889,294.83333,3122.03333,2580.0,1.0,25.0,9.25185,2036.46667,1.0,24.66667,32.55556,7.66667,1.0,20.33333,14.88889,2.11111,13.86667,Mer_2_3
1049.63333,764.63333,314.93333,281.94444,3523.25556,2618.11111,1.0,27.55556,8.35556,1800.46667,1.0,13.55556,20.77778,7.77778,1.0,11.44444,10.22222,3.22222,18.64444,Mer_2_4
944.63333,448.63333,170.82222,178.83333,3275.92222,4153.22222,1.22222,9.33333,8.02222,1682.46667,1.0,30.88889,12.11111,8.44444,1.0,10.22222,10.22222,2.11111,24.64444,Mer_2_5
883.07778,371.85556,128.82222,259.38889,3094.47778,2870.22222,1.0,20.55556,8.42222,1616.91111,1.0,12.22222,9.88889,6.0,1.0,8.66667,12.88889,1.77778,7.52593,Mer_2_6
940.74444,396.85556,146.48889,256.16667,3070.14444,1718.44444,1.0,16.22222,4.46667,1505.46667,1.0,13.88889,15.66667,6.55556,2.0,11.66667,10.55556,3.22222,6.97037,Mer_2_7
789.07778,187.41111,135.26667,188.07407,2490.47778,1837.0,1.0,26.22222,8.80741,1400.57778,1.0,38.22222,20.66667,5.88889,1.0,6.44444,6.77778,2.77778,41.02963,Mer_2_8
946.52222,491.63333,160.15556,227.16667,3201.7,2137.22222,1.22222,27.88889,5.64444,1341.57778,1.0,25.0,10.22222,8.0,1.0,8.22222,3.22222,1.66667,6.53333,Mer_2_9
