Na_a,Mg_a,Al_a,S_a,K_a,Ti_a,V_a,Cr_a,Mn_a,Fe_a,Co_a,Cu_a,Zn_a,Sr_a,Cd_a,Sn_a,Ba_a,Hg_a,Pb_a,name_a,Na_i,Mg_i,Al_i,S_i,K_i,Ti_i,V_i,Cr_i,Mn_i,Fe_i,Co_i,Cu_i,Zn_i,Sr_i,Cd_i,Sn_i,Ba_i,Hg_i,Pb_i,name_i
114584.81129,7255.99792,21642.59223,5294.34177,238164.94511,38.84762,3.99934,1.64112,2064.30887,187768.88288,88.41186,1249.5689,2885.23946,587.33333,159.89725,33.11111,52.38889,595.71927,834.94444,102vA.a_0,4520.84742,282.80428,700.31445,1.0,6253.57869,11.0,1.0,1.0,54.92468,9163.89112,4.38889,113.55446,261.05556,7.22222,1.41346,1.74001,1.0,17.19167,26.68445,102vA.i_0
102669.25574,7082.44237,15951.59223,5900.34177,248211.22289,48.7189,3.01531,1.96168,2109.86442,178734.93843,86.74519,1233.95779,2489.51724,550.72222,180.73058,43.55556,39.61111,500.4415,830.0,102vA.a_1,4436.84742,340.58206,706.98111,1.0,6573.57869,11.0,1.0,1.0,60.36912,8854.28001,4.5,127.05446,321.22222,7.22222,1.0,1.18667,1.0,29.74723,29.01779,102vA.i_1
103470.53351,7010.22014,18597.25889,4359.45288,199767.834,16.22496,3.80107,4.77585,1997.47553,167237.6051,79.74519,1165.79112,2212.29501,484.83333,198.06391,26.0,30.94444,408.88594,686.22222,102vA.a_2,4699.29187,387.19317,774.25889,1.0,6604.52313,5.0,1.0,1.0,66.70246,8534.28001,4.44444,113.27668,254.16667,5.94444,1.82692,2.74001,1.0,21.18334,30.07334,102vA.i_2
102755.31129,7190.83125,15960.48111,5029.39732,205282.334,43.78326,2.68996,5.25669,2017.58665,163080.21621,73.41186,1192.23557,2023.07279,434.55556,191.9528,48.55556,34.77778,437.38594,749.27778,102vA.a_3,4717.06965,253.80428,696.09223,1.0,6826.57869,5.0,1.0,1.0,54.81357,7862.33557,7.88889,118.9989,185.5,4.88889,1.0,1.08,1.0,1.0,29.1289,102vA.i_3
97065.25574,6611.38681,16506.14778,4911.28621,235134.61177,72.56104,4.86428,2.12196,1995.69776,159234.1051,67.74519,1121.18001,2484.46168,432.33333,163.23058,47.11111,23.27778,430.05261,751.55556,102vA.a_4,4591.6252,337.63761,672.31445,1.0,6336.1898,3.0,1.0,1.0,58.59135,7353.50223,5.11111,120.05446,222.5,6.16667,3.13568,1.05333,1.0,8.84167,28.96223,102vA.i_4
93494.70018,6570.99792,16022.48111,3413.53883,190525.61177,30.20736,2.81704,5.78224,1965.86442,155035.1051,72.07852,1103.29112,2309.90612,463.0,165.17503,49.88889,41.72222,459.83038,791.5,102vA.a_5,4788.79187,253.69317,631.81445,1.0,5988.07869,13.05556,1.0,1.0,45.59135,6855.11335,2.83333,106.66557,131.11111,5.61111,4.02457,1.10667,1.0,1.0,27.1289,102vA.i_5
89814.03351,6468.55348,14631.53667,2829.09438,172878.05622,25.68975,3.15037,5.62196,1951.75331,151451.71621,67.41186,1084.62446,2264.29501,468.05556,171.11947,33.77778,32.88889,414.9415,714.22222,102vA.a_6,4460.06965,300.19317,550.37,1.0,6000.74535,29.55556,1.0,1.0,46.81357,6456.50223,4.05556,103.94334,172.44444,4.77778,1.0,1.05333,1.0,1.39722,24.01779,102vA.i_6
91145.20018,6924.10903,14164.03667,3324.78621,182562.88955,19.10505,5.00733,2.28224,2041.97553,148879.16066,76.07852,1082.73557,2110.40612,433.16667,172.89725,31.5,21.05556,444.55261,682.88889,102vA.a_7,4745.79187,247.69317,558.92556,1.0,5907.57869,19.11111,1.0,1.0,42.1469,6220.33557,4.61111,97.44334,173.16667,4.88889,1.0,1.02667,2.88889,8.51667,30.35112,102vA.i_7
97316.70018,6974.60903,16249.20334,5955.6751,205203.27844,18.69856,5.24552,1.96168,2009.08665,147083.32732,73.8563,1068.18001,2121.96168,546.44444,157.17503,21.16667,42.55556,698.83038,845.22222,102vA.a_8,4348.34742,262.69317,541.92556,1.0,5720.02313,1.0,1.0,1.0,43.81357,6026.05779,6.22222,108.83223,155.33333,6.05556,1.0,1.05333,1.0,15.69167,33.24001,102vA.i_8
90479.70018,6460.38681,15855.87,4256.23589,221832.11177,56.95267,5.69794,1.0,2002.6422,143712.71621,62.74519,1227.62446,2156.6839,501.27778,171.00836,33.38889,45.61111,524.99705,974.11111,102vA.a_9,4712.1252,324.41539,584.70334,1.0,6245.35646,13.22222,1.0,1.0,55.25801,5763.89112,4.33333,106.38779,182.44444,4.94444,1.0,1.05333,1.0,2.11945,33.68445,102vA.i_9
