Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,Sr,Cd,Sn,Ba,Hg,Pb,name
667.26667,96.0,57.67778,180.06667,11803.83333,25.75926,1.1037,2.11111,16.83333,3859.18889,1.1037,286.77778,73.53333,5.27407,1.71852,4.66667,1.88889,3.3963,13.51111,2Fe2CuZnK_0
666.93333,82.66667,55.9,236.95556,11624.27778,59.41111,1.0,3.22222,21.05556,3685.85556,1.1037,248.11111,62.42222,3.73333,1.0,2.11111,1.88889,2.42593,9.8,2Fe2CuZnK_1
668.48889,58.44444,53.9,214.02222,11939.72222,19.04444,1.0,2.11111,16.27778,3539.52222,1.1037,206.11111,80.75556,5.26667,2.60741,3.22222,4.55556,3.57778,11.02222,2Fe2CuZnK_2
664.48889,62.55556,53.23333,236.84444,11170.5,157.31481,1.0,3.22222,15.72222,3418.52222,1.0,234.0,72.08889,4.15556,1.0,2.0,3.77778,2.75926,11.68889,2Fe2CuZnK_3
635.93333,52.33333,56.67778,265.17778,11037.16667,21.26667,1.0,5.44444,16.27778,3303.41111,1.0,231.88889,62.53333,4.05185,1.71852,2.11111,1.0,1.63704,13.4,2Fe2CuZnK_4
662.82222,64.44444,58.78889,267.62222,11255.05556,68.37778,1.0,2.11111,17.27778,3187.63333,1.0,239.33333,64.08889,5.48889,1.0,1.33333,1.88889,5.02222,11.95556,2Fe2CuZnK_5
643.15556,65.55556,59.23333,195.62222,12527.16667,70.21852,1.0,5.44444,24.83333,3093.63333,1.0,191.77778,56.08889,3.93333,1.0,2.44444,1.88889,3.72963,9.91111,2Fe2CuZnK_6
639.71111,67.44444,55.01111,195.62222,11644.05556,36.85556,1.0,5.44444,20.38889,2977.85556,1.0,202.22222,56.31111,3.73333,1.71852,2.11111,4.77778,2.24444,10.4,2Fe2CuZnK_7
648.15556,55.22222,53.78889,195.62222,10922.5,18.68148,1.0,7.66667,16.05556,2920.3,1.0,204.88889,69.53333,6.26667,1.0,2.88889,1.88889,4.35556,13.06667,2Fe2CuZnK_8
550.82222,53.44444,43.45556,208.4,9996.16667,32.36296,1.1037,5.44444,16.72222,2852.41111,1.1037,249.22222,61.31111,4.05926,1.0,4.66667,1.88889,2.74815,8.4,2Fe2CuZnK_9
239.55556,19.44444,113.66667,53.96296,548.04444,25.55556,1.0,5.11852,11.03333,2301.85556,1.0,3.75556,1.0,1.44444,2.55556,5.68889,2.82222,2.93333,1.38519,2FeAl_0
309.55556,31.11111,142.88889,69.2963,666.37778,37.88889,1.0,3.05926,11.47778,2076.41111,1.0,4.68889,2.88148,1.66667,1.77778,1.28889,1.0,5.88889,1.0963,2FeAl_1
304.77778,18.33333,144.22222,74.51852,744.6,27.44444,1.0,1.94815,9.81111,1866.63333,1.0,4.26667,2.27407,1.66667,1.0,2.46667,1.82222,2.93333,1.60741,2FeAl_2
248.66667,25.22222,158.44444,56.51852,462.93333,17.22222,1.0,3.84444,7.36667,1767.18889,1.0,2.97778,1.60741,2.44444,1.0,1.28889,3.64444,2.68889,2.68889,2FeAl_3
292.11111,17.33333,104.22222,64.09259,767.48889,18.88889,1.0,2.8963,8.92222,1552.07778,1.0,3.51111,1.3037,1.55556,1.0,5.4,1.82222,2.28889,1.95556,2FeAl_4
