probka,OPIS
APP0,podpis - Małachowski
APP1,podpis - Kossakowski
APP10,podpis - Radzicki
APP11,podpis - Zabiełło
APP12,podpis - Puttkamer
APP13,podpis - Sapieha
APP14,treść
APP15,poprawka
APP16,oblatowanie
APP2,podpis - Jabłonowski
APP3,podpis - Szydłowski
APP4,podpis - Kwilecki
APP5,podpis - Plater
APP6,podpis - Stroynowski
APP7,podpis - Potocki
APP8,podpis - Zboiński
APP9,podpis - Nowowiejski
ASC0,oblatowanie
ASC1,treść
ASC10,treść
ASC11,komentarz
ASC12,treść
ASC13,komentarz
ASC14,komentarz
ASC15,poprawka
ASC16,treść
ASC17,poprawka
ASC18,poprawka
ASC19,treść
ASC2,poprawka
ASC20,podpis - Małachowski
ASC21,podpis - Sapieha
ASC23,poprawka
ASC4,treść
ASC5,komentarz
ASC6,treść
ASC7,poprawka
ASC8,treść
ASC9,komentarz
ASC3,komentarz
ML0,podpis - Małachowski
ML10,podpis - Radzicki
ML11,podpis - Zabiełło
ML12,podpis - Puttkamer
ML13,podpis - Sapieha
ML14,poprawka
ML15,treść
ML16,treść
ML1,podpis - Kossakowski
ML2,podpis - Jabłonowski
ML3,podpis - Szydłowski
ML4,podpis - Kwilecki
ML5,podpis - Plater
ML6,podpis - Stroynowski
ML7,podpis - Potocki
ML8,podpis - Zboiński
ML9,podpis - Nowowiejski
