Al,S,Cr,Mn,Co,Cu,Zn,Pb,Mg,name
-1.7731174614898386,-0.9280161587188777,-6.194065310792167,-3.9278775503512673,-8.99796654595167,-6.233850061035772,-5.757642896048002,-3.924061058890266,11.94048469055146,192_0
-1.58247994971403,-1.0398181174451433,-6.102305627170903,-3.9630233898172884,-9.066305374322559,-6.3108768729867775,-5.9130295613556605,-3.9165357486062096,11.916014421865768,192_1
-1.6392481738594973,-0.9039894990632764,-6.514546115941294,-3.8678465720415844,-9.064992954116388,-5.398969234338984,-6.05150120030289,-3.428934711443944,11.793220319819108,192_2
-1.6410486938497817,-0.9627468725963111,-7.148681117294488,-3.97829548759092,-9.032247751160355,-6.284854048632893,-5.895731443540556,-3.604042772061223,11.719598112628013,192_3
-1.6372599847445208,-1.047624976040898,-6.003468837712022,-3.902099611629535,-9.005208528231213,-6.196501635319939,-5.948330379797036,-3.536135919029563,11.744425997479466,192_4
-1.5796986887915088,-0.91482869451629,-6.401342902098265,-3.869776790084467,-8.914049796905822,-6.644408714176595,-6.1464572726483695,-3.5699214314198766,11.806840570001862,192_5
-1.548377859808619,-0.9237144525602141,-5.621282855629567,-3.7718394779112483,-8.932214934622282,-6.1293403658602585,-5.826058166144528,-3.3780991866821033,11.819954177610104,192_6
-1.6120543590583747,-0.9772581831987216,-5.075180491990613,-3.866152570543471,-8.887278498179658,-6.293817270246084,-5.950872585586827,-3.503473581191361,11.672899155288126,192_7
-1.526912854128795,-0.9689062137272781,-4.4130419117064195,-3.6886339408127244,-8.739600028520147,-6.570137774739301,-6.016205606868075,-3.3958955140056,11.965070578714203,192_8
-1.4867394230883784,-0.9629928391675611,-5.778772900538543,-3.6863263613779713,-9.148237755798363,-5.714878022325533,-5.748195766835561,-2.8789404096044984,11.682971988104606,192_9
-1.7737764006059313,-1.039404595474344,-7.22830159304529,-4.315970957983046,-9.781981793974998,-5.558153355741916,-6.846295518006068,-4.802702680734199,12.088362859047255,193_0
-1.7624577274042625,-1.203822052427834,-7.914953989905157,-4.250538016509305,-9.689322406076753,-5.513529588178125,-6.55515127778929,-4.782039572225727,12.131827430820662,193_1
-1.7063040381632997,-0.979470772171009,-5.8983869075704325,-4.306457475567397,-9.449971180600363,-5.483880963901941,-6.711664467162561,-4.637440618226837,12.072397241279331,193_2
-1.7481229783514014,-0.9927465122909069,-5.629767472954736,-4.318061812575905,-9.19213027258485,-5.446469664181616,-6.616126556210199,-4.683109053266718,12.065584538296122,193_3
-1.7141416031178174,-1.1027640868755852,-6.026452194634913,-4.247984716638835,-9.513918852915129,-5.403965356172122,-6.688601671578194,-4.623474447933688,12.047573860353866,193_4
-1.6795907605983145,-0.971634422859201,-5.588546695483624,-4.224218046677015,-9.78078273738303,-5.3597525682521905,-6.611790256596034,-4.813355808797618,12.087186629289285,193_5
-1.6979417076175063,-0.9799169059097032,-6.729660441779058,-4.288050827232878,-9.32593617803646,-5.358307907396382,-6.634104557996033,-4.770805763766684,12.098458481814175,193_6
