Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,Sr,Cd,Sn,Ba,Hg,Pb,name
2210.58889,1549.0,240.9,560.86667,5992.96667,990.33333,1.0,2.8963,279.27778,28374.08889,3.33333,55.66667,76.17778,13.44444,1.0,3.11111,8.11111,36.52222,252.31111,192.i_0
2072.81111,1511.55556,280.9,483.31111,5775.85556,1098.88889,1.0,3.05926,259.83333,27342.86667,3.0,49.66667,62.84444,17.11111,1.0,4.66667,5.28889,31.63333,244.97778,192.i_1
2117.58889,1336.88889,255.23333,532.42222,5609.18889,858.66667,1.0,1.94815,274.83333,26295.64444,2.88889,118.88889,52.62222,17.55556,1.0,7.11111,11.75556,36.07778,383.64444,192.i_2
2013.14444,1242.0,246.56667,485.86667,5426.07778,452.0,1.11111,1.0,238.16667,25448.53333,2.88889,47.44444,59.51111,15.44444,2.55556,6.44444,7.28889,31.96667,311.64444,192.i_3
1921.47778,1273.22222,240.9,434.42222,5170.63333,838.22222,1.22222,3.05926,250.16667,24769.64444,2.88889,50.44444,54.95556,14.55556,1.0,4.66667,16.64444,50.18889,324.64444,192.i_4
1772.81111,1355.22222,241.9,470.31111,5072.74444,577.33333,1.11111,1.94815,244.94444,23481.2,3.0,30.55556,42.73333,11.55556,1.77778,4.0,16.75556,42.07778,297.53333,192.i_5
1823.58889,1373.11111,235.34444,439.53333,5014.96667,963.55556,1.0,4.00741,254.72222,22140.42222,2.77778,48.22222,55.51111,14.11111,1.0,6.66667,20.57778,43.07778,339.86667,192.i_6
1618.47778,1185.33333,211.12222,398.31111,4674.63333,717.0,1.11111,6.61481,221.61111,21167.53333,2.77778,39.11111,46.84444,11.11111,1.0,5.88889,11.17778,30.56296,286.64444,192.i_7
1731.58889,1587.55556,222.12222,388.08889,4782.07778,821.88889,1.11111,12.39259,255.72222,20452.75556,3.11111,28.66667,42.4,15.33333,1.0,5.66667,14.93333,52.85556,308.42222,192.i_8
1606.25556,1197.33333,223.67778,377.64444,4476.52222,476.66667,1.11111,3.05926,247.94444,19784.97778,2.0,65.22222,53.62222,15.22222,1.77778,4.88889,8.11111,34.85556,500.31111,192.i_9
3906.52222,1795.86667,474.55556,989.05556,9408.98889,129.55556,1.38519,2.02963,373.44444,55931.74444,3.0,215.66667,50.55556,39.66667,1.0,4.59259,15.11111,18.4,206.57778,193.i_0
3906.18889,1875.64444,469.88889,821.5,9518.65556,230.44444,1.3037,1.0,390.33333,54758.41111,3.22222,220.77778,66.22222,38.33333,1.0,3.87407,28.11111,21.28889,206.46667,193.i_1
3855.96667,1767.42222,485.66667,1004.61111,9108.32222,133.44444,1.28889,7.34074,360.66667,53506.52222,4.0,222.22222,55.33333,36.55556,1.0,6.59259,25.0,21.8,233.13333,193.i_2
3856.85556,1755.42222,459.88889,978.83333,9186.43333,59.66667,1.91111,9.48148,352.0,52830.3,5.11111,227.77778,60.11111,39.44444,1.0,5.6963,18.22222,28.13333,219.91111,193.i_3
3806.63333,1724.08889,470.88889,867.83333,9182.98889,139.77778,1.19259,6.31111,373.66667,52286.63333,3.66667,235.22222,55.33333,39.66667,1.0,8.74815,7.55556,23.37778,231.02222,193.i_4
3972.63333,1793.75556,482.22222,978.83333,9383.43333,300.11111,1.28889,9.67407,378.55556,51726.63333,2.77778,243.22222,59.11111,43.44444,1.0,6.75556,15.44444,43.62222,189.02222,193.i_5
