Na_a,Mg_a,Al_a,S_a,K_a,Ti_a,V_a,Cr_a,Mn_a,Fe_a,Co_a,Cu_a,Zn_a,Sr_a,Cd_a,Sn_a,Ba_a,Hg_a,Pb_a,name_a,Na_i,Mg_i,Al_i,S_i,K_i,Ti_i,V_i,Cr_i,Mn_i,Fe_i,Co_i,Cu_i,Zn_i,Sr_i,Cd_i,Sn_i,Ba_i,Hg_i,Pb_i,name_i
13320.04444,9228.11111,1386.64444,3519.81111,40974.84444,166.44444,3.44444,7.8,1941.43333,266001.26667,40.93333,246.0,426.15556,317.33333,1.0,105.33333,413.66667,1305.77778,8041.24444,192.a_0,2184.14444,1609.66667,265.67778,560.86667,5956.52222,988.22222,1.0,2.8963,285.94444,28374.08889,3.11111,65.44444,76.95556,14.11111,1.0,3.11111,9.93333,36.52222,280.08889,192.i_0
14302.26667,10824.66667,1509.2,4152.14444,42586.4,378.11111,5.44444,14.6,2098.76667,250457.82222,37.93333,265.66667,512.26667,368.33333,1.0,139.77778,450.44444,1364.88889,10527.8,192.a_1,2072.81111,1511.55556,280.9,483.31111,5775.85556,1098.88889,1.0,3.05926,259.83333,27342.86667,3.0,49.66667,62.84444,17.11111,1.0,4.66667,5.28889,31.63333,244.97778,192.i_1
13032.93333,10093.33333,1456.86667,3524.92222,40962.73333,226.0,4.77778,3.6,2211.98889,239885.26667,40.48889,219.77778,534.93333,326.22222,1.0,120.66667,376.0,1440.33333,10562.8,192.a_2,2103.36667,1231.77778,248.56667,534.97778,5531.3,788.88889,1.0,1.94815,256.5,26295.64444,2.66667,109.88889,52.17778,16.77778,1.0,7.88889,13.57778,33.74444,357.75556,192.i_2
14138.93333,9584.77778,1381.42222,3349.58889,40631.73333,232.22222,6.11111,4.46667,2094.21111,233824.26667,36.48889,260.0,445.93333,323.33333,1.0,113.88889,352.33333,1350.33333,9179.57778,192.a_3,2027.36667,1347.11111,253.23333,483.31111,5503.96667,521.77778,1.11111,1.0,256.5,25448.53333,3.11111,56.44444,59.95556,16.22222,2.55556,5.66667,5.46667,34.3,337.53333,192.i_3
13462.26667,7794.22222,1628.75556,2841.14444,39322.62222,223.88889,5.88889,14.44444,1735.1,217603.37778,32.82222,251.66667,488.37778,269.44444,1.0,67.55556,257.22222,1174.88889,5869.8,192.a_4,1921.47778,1273.22222,240.9,434.42222,5170.63333,838.22222,1.22222,3.05926,250.16667,24769.64444,2.88889,50.44444,54.95556,14.55556,1.0,4.66667,16.64444,50.18889,324.64444,192.i_4
13658.15556,7948.88889,1275.31111,3222.92222,39945.95556,211.66667,5.55556,10.75556,1782.54444,212677.15556,33.37778,216.22222,488.26667,252.22222,1.0,62.44444,305.88889,1154.88889,5774.57778,192.a_5,1772.81111,1355.22222,241.9,470.31111,5072.74444,577.33333,1.11111,1.94815,244.94444,23481.2,3.0,30.55556,42.73333,11.55556,1.77778,4.0,16.75556,42.07778,297.53333,192.i_5
13733.71111,7180.22222,1392.08889,3223.25556,35929.28889,269.0,5.77778,4.95556,1500.32222,209455.37778,32.71111,239.0,475.26667,214.22222,1.0,55.55556,288.0,970.88889,4653.24444,192.a_6,1823.58889,1373.11111,235.34444,439.53333,5014.96667,963.55556,1.0,4.00741,254.72222,22140.42222,2.77778,48.22222,55.51111,14.11111,1.0,6.66667,20.57778,43.07778,339.86667,192.i_6
12267.26667,8800.44444,1434.42222,3057.92222,40373.17778,160.11111,6.0,5.06667,1802.98889,203602.93333,31.82222,272.88889,563.15556,299.22222,1.0,115.0,316.77778,1340.55556,10349.91111,192.a_7,1618.47778,1185.33333,211.12222,398.31111,4674.63333,717.0,1.11111,6.61481,221.61111,21167.53333,2.77778,39.11111,46.84444,11.11111,1.0,5.88889,11.17778,30.56296,286.64444,192.i_7
11819.82222,8520.55556,1296.75556,3258.92222,36770.73333,184.88889,6.22222,3.84444,1768.54444,195417.37778,31.04444,277.11111,382.04444,300.0,1.0,117.0,442.33333,1307.0,9330.68889,192.a_8,1731.58889,1587.55556,222.12222,388.08889,4782.07778,821.88889,1.11111,12.39259,255.72222,20452.75556,3.11111,28.66667,42.4,15.33333,1.0,5.66667,14.93333,52.85556,308.42222,192.i_8
11704.82222,7157.0,1370.53333,3163.58889,37133.62222,215.77778,5.33333,2.97778,1584.1,189421.26667,26.48889,277.0,398.71111,230.77778,3.33333,80.77778,332.66667,1039.66667,5718.46667,192.a_9,1606.25556,1197.33333,223.67778,377.64444,4476.52222,476.66667,1.11111,3.05926,247.94444,19784.97778,2.0,65.22222,53.62222,15.22222,1.77778,4.88889,8.11111,34.85556,500.31111,192.i_9
17942.31111,9911.0,2219.22222,8666.13333,53942.74444,252.66667,8.0,9.68519,2275.62222,304486.9,45.88889,3333.55556,836.55556,547.88889,1.0,101.95556,934.33333,4877.11111,6786.75556,193.a_0,3905.07778,1816.08889,473.22222,937.5,9492.65556,133.66667,1.38519,2.02963,373.77778,55931.74444,3.33333,226.11111,51.77778,40.0,1.0,4.59259,15.11111,16.84444,191.35556,193.i_0
17398.97778,10256.44444,2384.66667,9088.02222,57358.85556,230.11111,7.77778,15.11852,2630.4,297673.23333,53.88889,3368.66667,840.0,615.0,2.55556,119.95556,1028.55556,5004.44444,8508.2,193.a_1,3907.63333,1855.42222,471.22222,873.05556,9434.98889,226.33333,1.3037,1.0,390.0,54758.41111,2.88889,210.33333,65.0,38.0,1.0,3.87407,28.11111,22.84444,221.68889,193.i_1
16128.2,10721.77778,2263.22222,6073.13333,54685.74444,197.22222,9.66667,8.91852,2380.73333,291959.45556,44.22222,3133.22222,626.0,497.22222,1.0,121.17778,1314.66667,4766.77778,9218.86667,193.a_2,3855.96667,1767.42222,485.66667,1004.61111,9108.32222,133.44444,1.28889,7.34074,360.66667,53506.52222,4.0,222.22222,55.33333,36.55556,1.0,6.59259,25.0,21.8,233.13333,193.i_2
18282.75556,12162.88889,2523.55556,7212.57778,53628.3,186.88889,8.33333,9.68519,2608.95556,283151.12222,47.44444,3423.66667,1066.66667,578.88889,1.0,99.73333,1163.33333,4206.0,6761.97778,193.a_3,3856.85556,1755.42222,459.88889,978.83333,9186.43333,59.66667,1.91111,9.48148,352.0,52830.3,5.11111,227.77778,60.11111,39.44444,1.0,5.6963,18.22222,28.13333,219.91111,193.i_3
16671.08889,9945.0,2115.55556,8695.57778,54607.74444,160.33333,8.44444,15.31111,2372.51111,278122.23333,47.44444,3672.88889,807.88889,544.11111,2.66667,89.06667,1072.22222,4283.66667,5582.75556,193.a_4,3806.63333,1724.08889,470.88889,867.83333,9182.98889,139.77778,1.19259,6.31111,373.66667,52286.63333,3.66667,235.22222,55.33333,39.66667,1.0,8.74815,7.55556,23.37778,231.02222,193.i_4
15409.86667,8894.0,2287.77778,8489.02222,50287.96667,223.88889,7.88889,8.57407,2500.06667,270844.56667,49.88889,3180.88889,752.88889,505.22222,1.0,130.95556,1377.33333,4621.66667,8118.64444,193.a_5,3972.63333,1793.75556,482.22222,978.83333,9383.43333,300.11111,1.28889,9.67407,378.55556,51726.63333,2.77778,243.22222,59.11111,43.44444,1.0,6.75556,15.44444,43.62222,189.02222,193.i_5
15532.64444,9665.33333,2085.33333,6525.91111,54314.3,154.0,7.77778,10.90741,2296.17778,266455.9,40.44444,3335.77778,723.22222,480.0,1.77778,85.17778,799.88889,4411.0,7150.64444,193.a_6,3789.63333,1814.08889,468.66667,960.94444,9021.32222,123.66667,1.38519,3.05926,351.55556,51203.63333,4.33333,241.11111,57.22222,42.88889,1.0,6.47407,20.22222,44.04444,195.24444,193.i_6
16124.64444,9267.22222,2089.77778,8818.24444,51067.85556,184.88889,8.33333,9.83704,2095.51111,265246.12222,46.66667,3348.44444,787.11111,446.88889,1.0,99.95556,1393.0,4434.77778,7417.42222,193.a_7,3693.85556,1868.64444,444.0,852.5,8773.43333,474.44444,1.48148,4.17037,360.0,50754.52222,3.66667,219.55556,56.88889,37.88889,1.0,6.86667,5.66667,33.04444,191.24444,193.i_7
15978.97778,7886.0,2148.0,8008.13333,48861.07778,164.44444,7.0,12.17037,1972.84444,263293.78889,43.33333,3245.33333,591.33333,397.22222,1.77778,127.73333,1188.11111,4002.77778,9065.86667,193.a_8,3739.52222,1867.42222,451.55556,927.16667,8929.54444,386.11111,1.4,5.2,353.22222,50110.3,4.66667,218.44444,59.22222,41.33333,1.0,8.64444,20.22222,45.97778,183.13333,193.i_8
17885.31111,8952.22222,2435.77778,6337.91111,51769.18889,236.33333,6.88889,7.5037,2211.51111,260637.01111,43.77778,3394.55556,733.33333,480.22222,1.0,98.51111,1106.88889,4360.55556,6295.75556,193.a_9,3990.74444,1693.75556,472.33333,978.72222,9251.65556,119.22222,1.19259,2.02963,377.88889,49518.85556,4.55556,229.11111,60.11111,41.88889,1.0,6.03704,55.66667,40.84444,196.02222,193.i_9
9392.42222,1197.44444,3228.06667,2175.97778,78164.63333,53.33333,1.64444,3.22222,83.34444,1802.88889,225.44444,1157.44444,43.06667,225.88889,1.0,132.0,124.44444,127.1,4373.88889,194.a_0,335.16667,42.44444,17.56667,52.85926,1180.06667,199.33333,1.0,2.11111,2.82222,519.0,1.0,19.26667,3.77778,1.11111,1.0,3.35556,1.88889,4.96296,3.63704,194.i_0
11571.64444,1448.88889,3455.06667,2619.86667,101997.85556,30.88889,1.32593,7.66667,92.78889,1681.77778,262.55556,1281.66667,51.51111,232.55556,1.0,172.0,145.33333,184.65556,5476.22222,194.a_1,420.16667,31.22222,18.23333,81.08148,1806.4,240.33333,1.0,5.44444,2.48889,466.77778,1.0,7.51111,3.33333,1.0,1.0,3.1037,5.77778,3.6,6.8,194.i_1
10405.53333,1419.66667,3836.73333,2599.42222,94411.63333,67.66667,1.51852,3.22222,96.23333,1603.44444,242.44444,1309.77778,50.28889,264.33333,1.0,174.77778,154.44444,191.43333,5610.11111,194.a_2,499.5,34.22222,22.01111,74.64444,2326.95556,382.11111,1.0,3.22222,4.18889,398.33333,1.0,12.51111,4.0,1.11111,1.0,2.35556,1.0,3.02222,8.57778,194.i_2
10305.86667,1184.22222,3417.95556,2237.97778,125340.41111,35.11111,2.85185,3.22222,94.78889,1487.88889,236.77778,1173.66667,51.28889,237.88889,1.0,157.66667,141.44444,165.21111,5317.66667,194.a_3,428.61111,32.22222,29.78889,55.20741,1774.51111,408.77778,1.0,8.88889,3.82222,377.0,1.0,8.91111,3.11111,1.0,1.0,4.2963,5.55556,3.85185,10.85926,194.i_3
12601.75556,1061.11111,2901.84444,2878.08889,85091.3,31.11111,1.54074,1.0,85.67778,1404.0,230.0,1050.77778,47.84444,161.88889,1.77778,110.22222,87.11111,125.76667,4253.33333,194.a_4,435.05556,36.33333,17.45556,51.42222,2003.62222,398.66667,1.0,1.0,3.71111,377.0,1.0,15.51111,4.44444,1.11111,1.0,2.05185,1.0,4.99259,7.24444,194.i_4
9639.31111,1384.33333,3609.62222,2609.86667,77565.18889,43.11111,1.74074,4.33333,76.45556,1393.55556,205.44444,1093.44444,52.84444,186.55556,1.77778,172.33333,135.55556,178.98889,5615.88889,194.a_5,490.72222,43.44444,22.67778,85.63333,2377.84444,162.33333,1.0,1.0,3.96667,350.88889,1.11111,14.48889,5.0,1.22222,1.0,4.8,1.88889,3.02222,9.19259,194.i_5
11206.64444,1369.0,3838.62222,2227.86667,96174.74444,55.55556,2.40741,3.22222,90.78889,1315.22222,239.0,1295.66667,41.51111,195.66667,3.44444,171.88889,129.66667,184.54444,6029.77778,194.a_6,375.38889,14.44444,27.23333,66.86667,1481.17778,248.77778,1.0,6.55556,2.78889,330.0,1.0,13.08889,2.0,1.22222,1.0,2.35556,5.55556,4.13333,6.97037,194.i_6
8361.08889,1156.11111,3023.62222,2426.64444,68321.52222,16.88889,1.64444,5.44444,74.9,1294.22222,189.44444,980.11111,44.17778,170.33333,1.0,381.55556,91.11111,144.21111,3808.11111,194.a_7,432.27778,39.11111,25.78889,88.74815,1945.28889,300.0,1.0,8.88889,12.71111,324.77778,1.0,9.17778,2.66667,1.22222,1.0,6.18519,4.77778,3.54815,8.19259,194.i_7
8184.42222,1086.22222,2832.06667,1830.64444,59215.74444,51.55556,2.08148,3.22222,73.9,1215.0,172.66667,867.44444,31.62222,151.77778,1.0,121.44444,98.88889,122.98889,3559.44444,194.a_8,473.94444,36.55556,20.45556,51.42222,2224.84444,182.88889,1.0,1.0,2.97778,283.0,1.0,12.68889,2.33333,1.22222,1.0,2.4963,1.88889,1.08148,7.3037,194.i_8
8064.31111,1173.33333,3078.28889,1714.42222,63587.85556,41.22222,1.74074,5.44444,72.01111,1194.11111,160.88889,1004.0,36.28889,163.55556,1.0,111.88889,99.88889,148.98889,3912.22222,194.a_9,280.38889,21.44444,14.12222,58.41852,1108.51111,119.66667,1.0,4.33333,2.2,283.0,1.0,10.28889,2.0,1.11111,1.0,2.05185,3.77778,3.1037,5.80741,194.i_9
101321.03333,16633.22222,8702.97778,13033.65556,540486.15556,815.55556,4.4963,10.18519,6420.2,323550.83333,648.11111,2461.11111,3609.55556,304.88889,9.22222,136.22222,1920.4,981.96667,1978.0,197.a_0,4343.97778,2113.22222,746.78889,654.01111,29714.36667,1183.33333,1.11111,3.85926,610.87778,29416.12222,66.11111,162.88889,397.52222,14.11111,2.66667,7.2,45.0,56.04444,105.44444,197.i_0
88851.03333,16699.77778,8716.53333,11563.65556,476636.04444,269.22222,5.6,4.00741,5739.86667,303260.94444,582.22222,2112.44444,3432.33333,242.44444,6.66667,132.66667,1466.73333,909.63333,1806.88889,197.a_1,4356.42222,1914.88889,738.23333,782.9,30145.25556,402.55556,1.0,3.85926,644.76667,28505.45556,66.22222,183.22222,422.41111,19.88889,1.77778,8.02963,36.0,57.15556,95.55556,197.i_1
80461.92222,14788.44444,8546.08889,8604.54444,424300.93333,756.0,5.82222,6.06667,5862.31111,288445.72222,555.55556,2104.77778,3002.22222,190.0,6.77778,145.66667,1553.95556,739.52222,1721.11111,197.a_2,4654.2,1772.44444,645.12222,721.01111,33028.14444,505.33333,1.0,2.74815,586.87778,27116.01111,63.11111,173.77778,405.96667,11.88889,1.0,4.42963,21.11111,58.04444,96.44444,197.i_2
75817.36667,14641.0,8647.64444,8436.98889,379089.71111,1159.0,6.04444,4.95556,5830.86667,278766.61111,560.33333,1909.55556,2944.44444,199.66667,6.77778,156.55556,1404.17778,703.41111,1710.77778,197.a_3,4588.86667,1621.77778,662.34444,775.01111,31096.7,501.11111,1.0,1.87407,587.1,25774.23333,60.22222,163.22222,359.74444,15.66667,1.0,9.75556,28.88889,57.6,81.0,197.i_3
75793.81111,14797.88889,8650.86667,9985.87778,412271.04444,1339.77778,5.15556,8.23704,5926.75556,270540.61111,630.22222,2034.0,2991.22222,268.33333,5.88889,137.66667,1490.51111,783.63333,1716.66667,197.a_4,4360.42222,1696.55556,562.67778,728.67778,30679.03333,676.0,1.0,4.73333,538.43333,24112.01111,55.88889,145.0,339.85556,12.66667,2.55556,9.08889,20.11111,43.93333,89.22222,197.i_4
78843.92222,15273.44444,8154.97778,9947.87778,442959.71111,1395.44444,4.16296,7.01481,5864.86667,264704.5,631.22222,1982.55556,3007.22222,283.66667,11.0,149.33333,1434.95556,746.85556,1898.66667,197.a_5,4260.64444,1583.44444,643.67778,646.12222,27902.58889,538.33333,1.0,4.73333,523.76667,22786.67778,53.55556,143.66667,286.07778,14.11111,1.0,9.35556,22.11111,54.26667,80.55556,197.i_5
74281.47778,15248.22222,8564.75556,8741.76667,400237.6,1718.11111,5.72593,7.01481,5969.53333,258910.83333,576.0,1916.11111,3003.88889,235.66667,7.55556,163.55556,1765.17778,795.41111,1847.66667,197.a_6,4255.64444,1451.88889,563.23333,628.01111,28091.7,784.88889,1.11111,4.4963,515.32222,21529.9,49.66667,143.88889,310.41111,12.55556,1.0,5.48148,24.0,53.26667,78.88889,197.i_6
77214.58889,14795.0,8067.42222,9579.76667,433436.37778,1553.55556,5.6,13.34074,5483.08889,254411.83333,560.77778,1987.88889,3160.66667,287.88889,9.22222,135.0,1597.73333,799.63333,1836.0,197.a_7,4453.53333,1409.66667,550.67778,612.56667,30024.03333,1374.66667,1.0,4.73333,497.1,20956.67778,50.55556,149.88889,300.41111,13.22222,1.0,11.91852,22.11111,51.15556,107.11111,197.i_7
80835.7,13983.66667,7482.2,9912.1,499194.04444,807.44444,3.16296,10.2963,5551.42222,250227.5,594.33333,1968.0,2831.88889,414.33333,6.66667,134.77778,1433.17778,717.52222,1896.44444,197.a_8,3928.08889,1366.11111,535.45556,584.23333,24832.36667,1236.88889,1.0,4.97037,450.21111,20226.01111,49.33333,128.66667,284.18889,17.0,1.0,8.46667,22.11111,56.15556,100.66667,197.i_8
85262.25556,14471.77778,7090.42222,11223.98889,470001.93333,893.77778,3.93333,10.45926,5775.2,244291.72222,540.0,2052.0,2742.11111,416.55556,9.22222,157.77778,1633.17778,803.3,1981.55556,197.a_9,4453.64444,1385.44444,581.34444,687.56667,30214.81111,1027.55556,1.0,10.45185,512.65556,19547.9,53.88889,150.22222,322.96667,13.55556,1.0,12.25185,21.11111,53.6,84.88889,197.i_9
18305.84444,24651.88889,3034.86667,1447.13333,62292.27778,252.77778,11.88889,7.34074,3701.16667,328641.52222,1834.0,1788.11111,251.22222,1397.0,1.71852,75.06667,370.11111,1934.58889,758.51111,221.a_0,1046.14444,329.4,239.61111,137.51111,2117.96667,10.88889,1.77778,7.61481,55.35556,15052.51111,26.66667,25.15556,23.0,42.33333,1.0,4.54815,13.44444,68.01111,47.84444,221.i_0
18421.17778,20500.33333,3193.64444,1627.57778,60069.27778,219.88889,11.88889,7.25926,2993.27778,303266.07778,1648.77778,1356.33333,279.33333,1519.11111,3.87407,72.62222,607.55556,1644.92222,904.4,221.a_1,929.25556,326.4,253.38889,139.84444,2068.41111,14.88889,1.33333,6.31111,61.8,14595.73333,25.55556,17.68889,28.88889,37.77778,1.0,6.18519,10.44444,64.78889,46.73333,221.i_1
15801.62222,21730.22222,3274.64444,1447.13333,52571.94444,256.88889,11.33333,11.62222,2849.5,285767.96667,1914.55556,1383.22222,180.11111,1644.55556,2.60741,85.4,543.55556,1997.58889,852.06667,221.a_2,879.14444,300.17778,209.61111,103.53333,2065.63333,10.88889,1.44444,3.05926,52.57778,14364.4,30.11111,20.57778,21.66667,31.33333,1.0,2.74815,3.77778,42.56667,38.06667,221.i_2
15995.17778,17932.55556,3126.31111,1467.8,49903.94444,230.11111,14.11111,4.17037,2410.94444,271975.18889,1762.33333,1257.77778,264.77778,1567.0,4.04444,78.62222,673.11111,1539.47778,907.62222,221.a_3,913.25556,325.4,210.72222,96.06667,1914.52222,5.0,1.11111,2.02963,55.8,14170.06667,27.44444,27.46667,26.55556,36.11111,1.0,5.48889,7.44444,57.67778,80.17778,221.i_3
15531.06667,16482.33333,3467.53333,1614.68889,48783.05556,277.33333,10.88889,10.7037,2169.05556,256189.96667,1367.33333,1032.33333,180.33333,1554.33333,1.71852,71.4,635.33333,1361.25556,867.62222,221.a_4,886.58889,312.28889,180.94444,95.64444,2055.18889,12.77778,1.0,1.0,59.91111,14017.73333,36.77778,24.46667,17.22222,35.44444,1.0,5.18519,7.66667,48.12222,34.28889,221.i_4
14511.17778,15566.0,3469.2,1769.57778,42574.16667,234.22222,8.66667,7.53333,2116.61111,244607.3,1035.66667,947.44444,153.88889,1538.55556,1.0,79.17778,718.55556,1408.92222,878.51111,221.a_5,910.81111,338.51111,211.5,124.08889,1910.41111,14.88889,1.0,2.02963,56.57778,13802.4,29.33333,20.04444,26.44444,36.44444,1.0,3.71111,14.44444,59.34444,84.84444,221.i_5
13715.84444,13521.0,3162.53333,1713.02222,41153.16667,226.11111,9.66667,8.45185,2065.5,237132.74444,957.0,932.11111,170.33333,1489.55556,1.71852,66.62222,554.22222,1185.03333,869.62222,221.a_6,892.25556,253.73333,208.5,68.77778,2100.52222,10.88889,1.11111,2.02963,52.35556,13586.95556,29.55556,16.02222,12.66667,28.88889,1.0,7.62963,3.77778,49.23333,90.06667,221.i_6
14047.06667,14285.33333,2992.08889,1617.57778,39830.61111,246.55556,10.0,11.62222,1963.38889,232008.18889,979.33333,1002.22222,197.22222,1574.88889,1.0,68.17778,665.22222,1093.7,995.4,221.a_7,901.81111,277.95556,171.38889,70.82222,2080.07778,15.0,1.11111,1.0,50.68889,13382.06667,32.0,18.46667,15.22222,31.11111,1.0,5.74074,4.66667,43.9,76.62222,221.i_7
