Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,Sr,Cd,Sn,Ba,Hg,Pb,name
2184.14444,1609.66667,265.67778,560.86667,5956.52222,988.22222,1.0,2.8963,285.94444,28374.08889,3.11111,65.44444,76.95556,14.11111,1.0,3.11111,9.93333,36.52222,280.08889,192_0
2072.81111,1511.55556,280.9,483.31111,5775.85556,1098.88889,1.0,3.05926,259.83333,27342.86667,3.0,49.66667,62.84444,17.11111,1.0,4.66667,5.28889,31.63333,244.97778,192_1
2103.36667,1231.77778,248.56667,534.97778,5531.3,788.88889,1.0,1.94815,256.5,26295.64444,2.66667,109.88889,52.17778,16.77778,1.0,7.88889,13.57778,33.74444,357.75556,192_2
2027.36667,1347.11111,253.23333,483.31111,5503.96667,521.77778,1.11111,1.0,256.5,25448.53333,3.11111,56.44444,59.95556,16.22222,2.55556,5.66667,5.46667,34.3,337.53333,192_3
1921.47778,1273.22222,240.9,434.42222,5170.63333,838.22222,1.22222,3.05926,250.16667,24769.64444,2.88889,50.44444,54.95556,14.55556,1.0,4.66667,16.64444,50.18889,324.64444,192_4
1772.81111,1355.22222,241.9,470.31111,5072.74444,577.33333,1.11111,1.94815,244.94444,23481.2,3.0,30.55556,42.73333,11.55556,1.77778,4.0,16.75556,42.07778,297.53333,192_5
1823.58889,1373.11111,235.34444,439.53333,5014.96667,963.55556,1.0,4.00741,254.72222,22140.42222,2.77778,48.22222,55.51111,14.11111,1.0,6.66667,20.57778,43.07778,339.86667,192_6
1618.47778,1185.33333,211.12222,398.31111,4674.63333,717.0,1.11111,6.61481,221.61111,21167.53333,2.77778,39.11111,46.84444,11.11111,1.0,5.88889,11.17778,30.56296,286.64444,192_7
1731.58889,1587.55556,222.12222,388.08889,4782.07778,821.88889,1.11111,12.39259,255.72222,20452.75556,3.11111,28.66667,42.4,15.33333,1.0,5.66667,14.93333,52.85556,308.42222,192_8
1606.25556,1197.33333,223.67778,377.64444,4476.52222,476.66667,1.11111,3.05926,247.94444,19784.97778,2.0,65.22222,53.62222,15.22222,1.77778,4.88889,8.11111,34.85556,500.31111,192_9
