Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,Sr,Cd,Sn,Ba,Hg,Pb,name
2862.46697,1366.405,130.54573,823.18365,30440.62935,414.74385,1.0,1.0,1814.26555,10638.01626,58.20601,524.0689,2915.48359,1.395,1.64166,2.33333,1.0,48.7573,19.10235,APP.0_0
2905.52253,1352.29389,137.54573,923.57254,32106.62935,392.02163,1.0,1.64444,1942.3211,9966.07182,66.76157,533.18001,2966.37248,1.65833,1.0,1.0,2.11778,45.70174,20.82457,APP.0_1
2669.74475,1217.905,121.87906,779.29476,27824.90713,474.94018,1.0,1.0,1693.65443,9451.90515,57.76157,541.79112,2842.48359,1.40944,1.64166,1.0,2.49038,49.47952,21.32457,APP.0_2
2878.52253,1266.405,117.43462,676.01699,30531.24046,236.02163,1.0,1.0,1718.15443,8989.84959,54.76157,488.68001,2791.65026,1.26333,1.0,1.0,1.74519,47.64619,22.99124,APP.0_3
2827.85586,1245.29389,132.3235,686.29476,28014.57379,240.58473,1.0,1.64444,1641.70999,8695.79404,54.42823,471.45779,2571.15026,2.325,1.64166,1.88889,2.11778,31.993,22.60235,APP.0_4
2616.91141,1039.01612,126.76795,712.29476,26223.24046,177.55883,1.0,1.0,1466.3211,8475.84959,61.53934,478.68001,2619.98359,1.40944,1.0,2.77778,3.98076,27.97952,18.21346,APP.0_5
2542.46697,1091.51612,120.54573,621.85032,25490.51824,294.7255,1.0,1.0,1443.70999,8349.4607,46.76157,417.29112,2363.42804,1.63778,1.0,4.11111,1.74519,34.64619,17.93568,APP.0_6
2692.02253,1293.73834,131.54573,694.07254,27514.79602,323.78859,1.0,1.0,1620.59888,8186.62737,53.31712,453.0689,2543.15026,1.86,1.0,1.0,1.37259,41.42396,25.26901,APP.0_7
2502.96697,1149.18278,124.43462,544.40587,21876.85157,179.53671,1.0,1.0,1400.15443,7966.51626,45.31712,450.01335,2221.37248,1.395,1.0,1.88889,1.0,27.78426,17.76901,APP.0_8
2401.46697,1030.01612,124.10128,557.29476,22469.35157,470.80695,1.0,1.64444,1372.8211,7814.18293,54.76157,402.18001,2084.20582,1.93611,1.0,1.88889,1.74519,29.43745,22.60235,APP.0_9
3418.06728,1483.5,193.59647,926.37063,37511.78523,2762.95618,1.0,4.909,1427.1854,9704.53622,66.66228,1861.3034,2827.40495,2.72222,2.66667,12.20668,5.59907,10.45448,33.9313,APP.1_0
3255.1784,1639.22222,207.15202,846.48174,36508.11856,5359.01174,1.0,1.52522,1389.24096,9211.03622,66.99562,1923.85895,2569.62718,1.88889,1.0,6.62446,9.06283,12.39892,31.54241,APP.1_1
3301.40062,1328.0,171.15202,890.25952,35481.61856,3320.90062,1.0,1.0,1382.24096,8728.20289,56.99562,1602.52562,2538.8494,2.55556,1.0,5.23557,8.83095,5.72994,49.98686,APP.1_2
3168.51173,1222.94444,224.76314,859.37063,36125.34078,3896.73396,1.0,1.0,1397.29651,8549.75845,60.44006,1711.19229,2609.8494,1.83333,1.0,9.06446,5.2295,12.56713,38.4313,APP.1_3
3091.34506,1220.05556,209.26314,838.64841,34411.17412,2875.95618,1.0,4.79277,1377.74096,8387.25845,59.99562,1656.85895,2572.90495,1.22222,3.44444,8.32001,9.5459,5.67207,41.9313,APP.1_4
3202.01173,1412.66667,225.26314,843.98174,34648.84078,3215.06729,1.0,1.0,1402.85207,8108.86956,58.10673,1744.41451,2671.12718,2.33333,1.0,7.0689,4.28505,6.22917,56.76464,APP.1_5
3049.95617,1315.83333,184.59647,820.64841,32194.17412,3404.1784,1.0,1.0,1280.79651,7851.86956,58.32895,1583.91451,2538.23829,2.38889,1.0,9.5089,5.57249,2.61343,39.48686,APP.1_6
2917.34506,1236.0,161.15202,714.81507,32174.72967,2859.40062,1.0,2.05044,1206.40762,7615.53622,53.55117,1456.13673,2279.57162,2.61111,1.0,13.81335,4.28505,1.83565,69.48686,APP.1_7
2907.40062,1207.72222,145.04091,779.37063,30405.61856,2550.90062,1.0,2.57566,1232.6854,7405.814,54.44006,1232.74784,2463.23829,2.94444,1.0,9.37557,5.88651,3.06019,53.32019,APP.1_8
2855.78951,1265.22222,150.59647,745.75952,29444.95189,2577.73396,1.0,1.52522,1197.35207,7217.09178,52.99562,1319.52562,2283.90495,3.0,1.0,11.92668,10.51693,4.00617,59.32019,APP.1_9
