Na_a,Mg_a,Al_a,S_a,K_a,Ti_a,V_a,Cr_a,Mn_a,Fe_a,Co_a,Cu_a,Zn_a,Sr_a,Cd_a,Sn_a,Ba_a,Hg_a,Pb_a,name_a,Na_i,Mg_i,Al_i,S_i,K_i,Ti_i,V_i,Cr_i,Mn_i,Fe_i,Co_i,Cu_i,Zn_i,Sr_i,Cd_i,Sn_i,Ba_i,Hg_i,Pb_i,name_i
15704.77778,11078.11111,2847.46667,35206.48889,1077110.76667,984.91111,2.5037,28.33333,2432.97778,918700.9,16.0,61879.66667,27970.33333,1683.04444,48.44444,277.06667,631.55556,415.22222,8304.73333,2Fe2CuZnK.a_0,667.26667,96.0,57.67778,180.06667,11803.83333,25.75926,1.1037,2.11111,16.83333,3859.18889,1.1037,286.77778,73.53333,5.27407,1.71852,4.66667,1.88889,3.3963,13.51111,2Fe2CuZnK.i_0
14690.11111,12614.55556,2788.46667,41191.15556,1120206.1,1169.8,2.06667,31.55556,2820.97778,889362.78889,20.44444,56863.44444,33700.88889,2116.15556,48.44444,326.84444,835.44444,428.88889,9374.4,2Fe2CuZnK.a_1,666.93333,82.66667,55.9,236.95556,11624.27778,59.41111,1.0,3.22222,21.05556,3685.85556,1.1037,248.11111,62.42222,3.73333,1.0,2.11111,1.88889,2.42593,9.8,2Fe2CuZnK.i_1
14450.88889,10939.66667,3070.24444,39306.37778,1102617.43333,553.35556,2.62222,39.77778,2805.42222,865431.67778,18.44444,59412.44444,32675.22222,2018.26667,41.55556,351.95556,984.0,463.44444,9347.62222,2Fe2CuZnK.a_2,668.48889,58.44444,53.9,214.02222,11939.72222,19.04444,1.0,2.11111,16.27778,3539.52222,1.1037,206.11111,80.75556,5.26667,2.60741,3.22222,4.55556,3.57778,11.02222,2Fe2CuZnK.i_2
13807.77778,11957.0,3139.02222,41613.71111,1134273.54444,582.6,2.71852,36.22222,2789.31111,842494.56667,20.88889,55759.77778,35026.22222,2219.48889,33.22222,383.84444,1235.44444,481.88889,9952.84444,2Fe2CuZnK.a_3,664.48889,62.55556,53.23333,236.84444,11170.5,157.31481,1.0,3.22222,15.72222,3418.52222,1.0,234.0,72.08889,4.15556,1.0,2.0,3.77778,2.75926,11.68889,2Fe2CuZnK.i_3
13476.66667,12545.77778,3127.68889,40106.82222,1112800.87778,724.02222,2.4,29.44444,2743.64444,805013.12222,18.11111,51265.66667,34732.55556,2109.93333,52.11111,383.73333,1251.33333,511.11111,9977.06667,2Fe2CuZnK.a_4,635.93333,52.33333,56.67778,265.17778,11037.16667,21.26667,1.0,5.44444,16.27778,3303.41111,1.0,231.88889,62.53333,4.05185,1.71852,2.11111,1.0,1.63704,13.4,2Fe2CuZnK.i_4
12803.55556,10241.22222,3018.46667,34461.26667,1064612.43333,456.91111,4.84444,20.33333,2212.42222,784182.9,16.88889,60275.66667,29247.55556,2020.26667,49.33333,510.73333,1397.44444,488.44444,10248.95556,2Fe2CuZnK.a_5,662.82222,64.44444,58.78889,267.62222,11255.05556,68.37778,1.0,2.11111,17.27778,3187.63333,1.0,239.33333,64.08889,5.48889,1.0,1.33333,1.88889,5.02222,11.95556,2Fe2CuZnK.i_5
12727.33333,10098.22222,2648.91111,32611.82222,1023289.87778,746.57778,5.61481,35.11111,2039.53333,763257.56667,15.22222,72838.88889,26769.0,1843.15556,41.66667,581.51111,2056.11111,460.88889,10143.84444,2Fe2CuZnK.a_6,643.15556,65.55556,59.23333,195.62222,12527.16667,70.21852,1.0,5.44444,24.83333,3093.63333,1.0,191.77778,56.08889,3.93333,1.0,2.44444,1.88889,3.72963,9.91111,2Fe2CuZnK.i_6
11251.44444,9962.44444,3077.13333,33389.26667,1065667.76667,773.35556,3.6,12.22222,2157.53333,750339.12222,15.66667,61082.44444,29567.88889,2060.04444,46.11111,770.84444,2650.77778,489.33333,11840.4,2Fe2CuZnK.a_7,639.71111,67.44444,55.01111,195.62222,11644.05556,36.85556,1.0,5.44444,20.38889,2977.85556,1.0,202.22222,56.31111,3.73333,1.71852,2.11111,4.77778,2.24444,10.4,2Fe2CuZnK.i_7
11516.55556,9343.22222,3410.91111,33922.82222,1048471.87778,672.68889,2.07407,29.33333,2258.42222,736520.23333,18.55556,51222.11111,30306.77778,2037.6,34.88889,509.06667,1401.0,461.55556,10037.51111,2Fe2CuZnK.a_8,648.15556,55.22222,53.78889,195.62222,10922.5,18.68148,1.0,7.66667,16.05556,2920.3,1.0,204.88889,69.53333,6.26667,1.0,2.88889,1.88889,4.35556,13.06667,2Fe2CuZnK.i_8
11977.66667,10016.0,3156.68889,32810.37778,999415.76667,493.8,2.72593,20.22222,2090.53333,720926.56667,17.66667,50449.22222,27642.33333,1930.26667,59.77778,436.51111,1288.0,525.44444,10109.28889,2Fe2CuZnK.a_9,550.82222,53.44444,43.45556,208.4,9996.16667,32.36296,1.1037,5.44444,16.72222,2852.41111,1.1037,249.22222,61.31111,4.05926,1.0,4.66667,1.88889,2.74815,8.4,2Fe2CuZnK.i_9
