nazwa,OPIS
APP0,podpis - Małachowski
APP1,podpis - Kossakowski
APP2,podpis - Jabłonowski
APP3,podpis - Szydłowski
APP4,podpis - Kwilecki
APP5,podpis - Plater
APP6,podpis - Stroynowski
APP7,podpis - Potocki
APP8,podpis - Zboiński
APP9,podpis - Nowowiejski
APP10,podpis - Radzicki
APP11,podpis - Zabiełło
APP12,podpis - Puttkamer
APP13,podpis - Sapieha
APP14,treść
APP15,poprawka 
APPBLAN,papier
ASC0,oblatowanie
ASC1,treść
ASC2,poprawka 
ASC3,komentarz
ASC4,treść
ASC5,komentarz
ASC6,treść
ASC7,poprawka 
ASC8,treść
ASC9,komentarz
ASC10,treść
ASC11,komentarz
ASC12,treść
ASC13,komentarz
ASC14,komentarz
ASC15,poprawka 
ASC16,treść
ASC17,poprawka 
ASC18,poprawka 
ASC19,treść
ASC20,podpis - Małachowski
ASC21,podpis - Sapieha
ASC22,plama
ASCBLAN,papier
ML14,poprawka 
ML15,treść
ML0,podpis - Małachowski
ML1,podpis - Kossakowski
ML2,podpis - Jabłonowski
ML3,podpis - Szydłowski
ML4,podpis - Kwilecki
ML5,podpis - Plater
ML6,podpis - Stroynowski
ML7,podpis - Potocki
ML16,treść
ML8,podpis - Zboiński
ML9,podpis - Nowowiejski
ML10,podpis - Radzicki
ML11,podpis - Zabiełło
ML12,podpis - Puttkamer
ML13,podpis - Sapieha
MLBLAN,papier
APP16,oblatowanie
ASCMF1,treść
ASCBLANK,papier
ASCMF2,treść
ASC23,poprawka
MLMF1,treść
MLMFBLANK1,papier
MLMFBLANK2,papier
MLMFBLANK3,papier
MLMAZG1,atrament - grubo
MLMAZG2,atrament - grubo
MLMAZG3,atrament - grubo
MLMAZS1,atrament - średnio
MLMAZS2,atrament - średnio
MLMAZS3,atrament - średnio
MLMAZC1,atrament - cienko
MLMAZC2,atrament - cienko
MLMAZC3,atrament - cienko
MLMAZBLANK1,papier
MLMAZBLANK2,papier
MLMAZBLANK3,papier
MLMALACHOWSKI1,podpis - Małachowski
MLMALACHOWSKI2,podpis - Małachowski
MLMALACHOWSKI3,podpis - Małachowski
MLSAPIEHA1,podpis - Sapieha
MLSAPIEHA2,podpis - Sapieha
MLSAPIEHA3,podpis - Sapieha
APPMF1,treść
APPMFBLANK,papier
APP17,oblatowanie
APP18,poprawka
APP19,treść
APP20,treść
APP21,treść
APP22,treść
ASC24,treść
ASC25,podpis - Małachowski
ASC26,podpis - Małachowski
ASC27,podpis - Małachowski
ASCUR1,napis UR
ASCUR2,napis UR
ASCUR3,napis UR
