Na_a,Mg_a,Al_a,S_a,K_a,Ti_a,V_a,Cr_a,Mn_a,Fe_a,Co_a,Cu_a,Zn_a,Sr_a,Cd_a,Sn_a,Ba_a,Hg_a,Pb_a,name_a,Na_i,Mg_i,Al_i,S_i,K_i,Ti_i,V_i,Cr_i,Mn_i,Fe_i,Co_i,Cu_i,Zn_i,Sr_i,Cd_i,Sn_i,Ba_i,Hg_i,Pb_i,name_i
114591.32222,7298.0,21644.22222,6160.45556,238193.08889,51.55556,5.11111,5.44444,2081.02222,187877.22222,89.55556,1252.88889,2891.0,587.33333,198.36667,40.62222,52.44444,599.77778,834.88889,102vA.a_0,4632.37778,331.3,695.0,178.77778,6358.13333,10.88889,1.0,1.0,69.31111,9336.3,4.44444,127.55556,277.66667,7.0,11.92593,4.88889,1.0,24.21852,33.55556,102vA.i_0
102675.43333,7124.66667,15953.33333,6766.45556,248239.42222,63.88889,4.11111,7.66667,2126.8,178843.44444,87.88889,1237.44444,2495.11111,550.88889,219.14444,50.42963,39.66667,504.44444,829.77778,102vA.a_1,4441.71111,375.85556,708.66667,158.2963,6603.46667,10.88889,1.0,1.0,70.2,9026.52222,4.44444,132.0,321.11111,7.44444,10.72593,3.55556,1.0,35.53704,32.22222,102vA.i_1
103476.76667,7052.44444,18599.0,5225.56667,199796.08889,23.11111,4.77778,13.33333,2014.35556,167346.0,80.88889,1169.22222,2218.0,484.77778,236.58889,33.73333,30.77778,412.88889,686.22222,102vA.a_2,4704.15556,422.41111,775.88889,106.55556,6634.35556,4.77778,1.0,1.0,76.53333,8706.41111,4.44444,118.11111,254.22222,6.0,12.82963,5.77778,1.0,26.48889,33.33333,102vA.i_2
102761.54444,7233.22222,15962.22222,5895.45556,205310.53333,57.55556,3.66667,16.66667,2034.46667,163188.55556,74.55556,1195.66667,2028.77778,434.55556,230.47778,56.17778,34.77778,441.33333,749.44444,102vA.a_3,4721.93333,288.96667,697.66667,116.96296,6856.35556,5.0,1.0,1.0,64.64444,8034.41111,7.88889,124.0,185.55556,4.88889,13.60741,2.11111,1.0,3.98148,32.55556,102vA.i_3
97071.76667,6653.55556,16507.66667,5777.45556,235162.75556,86.22222,6.0,8.77778,2012.57778,159342.44444,68.88889,1124.55556,2490.11111,432.33333,201.81111,54.84444,23.33333,434.11111,751.66667,102vA.a_4,4590.37778,354.74444,667.77778,111.77778,6181.35556,4.77778,1.0,1.0,65.42222,7525.85556,5.0,120.44444,210.66667,6.33333,17.61481,2.55556,1.0,13.66296,29.44444,102vA.i_4
93500.98889,6613.22222,16024.22222,4265.23333,190553.75556,39.44444,3.77778,13.33333,1982.68889,155143.44444,73.22222,1106.66667,2315.66667,463.11111,203.58889,57.62222,41.77778,463.88889,791.44444,102vA.a_5,4764.15556,333.52222,647.88889,75.77778,6313.57778,11.0,1.0,1.0,61.97778,7027.18889,2.88889,117.55556,152.88889,4.88889,14.15556,2.44444,1.0,4.44074,33.22222,102vA.i_5
89820.43333,6510.66667,14633.22222,3681.01111,172906.2,37.33333,4.11111,12.22222,1968.68889,151560.22222,68.55556,1087.88889,2270.11111,468.11111,209.7,41.51111,33.0,418.77778,714.22222,102vA.a_6,4501.15556,309.18889,543.77778,166.11111,5919.8,29.55556,1.0,1.0,53.08889,6628.63333,4.0,107.88889,162.44444,5.22222,8.80741,1.0,1.0,4.3,27.22222,102vA.i_6
91151.65556,6966.22222,14165.55556,4190.78889,182591.2,27.22222,6.11111,9.88889,2058.91111,148987.55556,77.22222,1086.11111,2116.11111,433.0,211.47778,39.17778,21.0,448.66667,682.77778,102vA.a_7,4750.82222,282.85556,560.55556,173.59259,5937.35556,19.0,1.0,1.0,51.97778,6392.52222,4.55556,102.33333,173.22222,5.0,10.14815,1.33333,2.77778,14.44074,33.55556,102vA.i_7
97323.1,7016.77778,16250.88889,6821.9,205231.31111,29.11111,6.33333,7.66667,2026.02222,147191.77778,75.0,1071.66667,2127.66667,546.44444,195.81111,28.17778,42.55556,702.88889,845.22222,102vA.a_8,4353.37778,297.96667,543.55556,158.03704,5749.91111,1.0,1.0,1.0,53.64444,6198.3,6.22222,113.66667,155.33333,6.0,10.47407,1.66667,1.0,22.66296,36.44444,102vA.i_8
90485.98889,6502.66667,15857.55556,5093.9,221860.31111,78.0,6.55556,1.0,2019.57778,143821.11111,63.88889,1231.11111,2162.44444,501.22222,209.7,40.51111,45.77778,529.11111,974.11111,102vA.a_9,4717.04444,359.74444,586.33333,171.07407,6275.24444,13.22222,1.0,1.0,65.08889,5936.07778,4.33333,111.33333,182.55556,5.11111,11.48889,1.77778,1.0,7.61481,37.0,102vA.i_9
