Na,Mg,Al,S,K,Ti,V,Cr,Mn,Fe,Co,Cu,Zn,Sr,Cd,Sn,Ba,Hg,Pb,name
4632.37778,331.3,695.0,178.77778,6358.13333,10.88889,1.0,1.0,69.31111,9336.3,4.44444,127.55556,277.66667,7.0,11.92593,4.88889,1.0,24.21852,33.55556,102vA_0
4441.71111,375.85556,708.66667,158.2963,6603.46667,10.88889,1.0,1.0,70.2,9026.52222,4.44444,132.0,321.11111,7.44444,10.72593,3.55556,1.0,35.53704,32.22222,102vA_1
4704.15556,422.41111,775.88889,106.55556,6634.35556,4.77778,1.0,1.0,76.53333,8706.41111,4.44444,118.11111,254.22222,6.0,12.82963,5.77778,1.0,26.48889,33.33333,102vA_2
4721.93333,288.96667,697.66667,116.96296,6856.35556,5.0,1.0,1.0,64.64444,8034.41111,7.88889,124.0,185.55556,4.88889,13.60741,2.11111,1.0,3.98148,32.55556,102vA_3
4590.37778,354.74444,667.77778,111.77778,6181.35556,4.77778,1.0,1.0,65.42222,7525.85556,5.0,120.44444,210.66667,6.33333,17.61481,2.55556,1.0,13.66296,29.44444,102vA_4
4764.15556,333.52222,647.88889,75.77778,6313.57778,11.0,1.0,1.0,61.97778,7027.18889,2.88889,117.55556,152.88889,4.88889,14.15556,2.44444,1.0,4.44074,33.22222,102vA_5
4501.15556,309.18889,543.77778,166.11111,5919.8,29.55556,1.0,1.0,53.08889,6628.63333,4.0,107.88889,162.44444,5.22222,8.80741,1.0,1.0,4.3,27.22222,102vA_6
4750.82222,282.85556,560.55556,173.59259,5937.35556,19.0,1.0,1.0,51.97778,6392.52222,4.55556,102.33333,173.22222,5.0,10.14815,1.33333,2.77778,14.44074,33.55556,102vA_7
4353.37778,297.96667,543.55556,158.03704,5749.91111,1.0,1.0,1.0,53.64444,6198.3,6.22222,113.66667,155.33333,6.0,10.47407,1.66667,1.0,22.66296,36.44444,102vA_8
4717.04444,359.74444,586.33333,171.07407,6275.24444,13.22222,1.0,1.0,65.08889,5936.07778,4.33333,111.33333,182.55556,5.11111,11.48889,1.77778,1.0,7.61481,37.0,102vA_9
2144.61111,405.46667,439.66667,171.4963,2265.46667,2.88889,1.0,3.22222,96.62222,5027.06667,4.66667,67.44444,189.77778,6.33333,15.64444,1.77778,1.0,7.33333,44.95556,102vB_0
2266.27778,333.91111,390.66667,154.37778,2281.57778,1.0,1.0,3.22222,82.51111,4507.84444,3.44444,62.22222,180.88889,5.33333,19.86667,1.66667,1.0,7.71111,32.62222,102vB_1
2568.38889,214.91111,330.66667,180.15556,2429.8,5.0,1.0,1.0,64.28889,4177.51111,2.22222,81.77778,87.66667,3.55556,11.17778,3.22222,1.0,6.8,26.84444,102vB_2
2707.72222,152.24444,324.55556,170.39259,2723.02222,4.77778,1.0,3.22222,48.84444,3978.17778,1.77778,84.33333,50.22222,3.0,6.37778,3.11111,1.88889,5.06667,17.17778,102vB_3
2423.83333,258.24444,332.0,151.93333,2513.02222,2.88889,1.0,2.11111,67.95556,3810.51111,1.88889,72.33333,99.66667,4.0,5.64444,2.33333,1.88889,7.71111,19.87407,102vB_4
2641.94444,116.8,301.0,176.60741,2477.46667,1.0,1.0,4.33333,43.73333,3668.51111,1.44444,68.44444,83.66667,3.0,11.17778,1.33333,1.0,3.46667,17.95556,102vB_5
2679.72222,79.68889,310.11111,206.28148,2731.46667,1.0,1.0,1.0,36.84444,3558.84444,2.55556,74.33333,51.33333,2.66667,3.68889,1.77778,1.0,3.97778,14.06667,102vB_6
2918.94444,83.46667,324.77778,236.28889,2839.68889,1.0,1.0,2.11111,39.17778,3427.51111,2.44444,79.88889,54.33333,2.77778,6.95556,1.66667,1.0,5.82222,17.17778,102vB_7
2790.16667,104.8,317.44444,145.71852,2857.57778,6.88889,1.0,3.22222,33.4,3333.28889,1.44444,60.88889,47.0,2.55556,11.48889,2.11111,1.0,5.62222,12.28889,102vB_8
2533.27778,118.91111,273.33333,147.28148,2531.24444,7.0,1.0,3.22222,38.73333,3265.06667,1.55556,70.11111,49.44444,2.88889,11.48889,1.0,1.0,3.53333,10.95556,102vB_9
7085.46667,382.96667,547.75556,116.05185,8213.74444,15.0,1.0,1.0,73.34444,7007.86667,6.55556,54.22222,130.33333,7.66667,5.5037,2.44444,2.88889,16.62222,20.11111,102vC_0
7213.8,386.74444,574.64444,226.82963,8542.74444,11.0,1.0,2.11111,71.23333,6708.75556,7.11111,58.0,133.11111,8.0,12.34074,2.88889,2.88889,18.62222,18.11111,102vC_1
6649.46667,353.74444,551.53333,270.60741,8180.18889,68.44444,1.11111,1.0,77.34444,6435.97778,7.33333,73.88889,131.44444,10.66667,11.21481,1.33333,2.88889,30.17778,17.0,102vC_2
6862.46667,338.41111,527.75556,275.82963,8106.96667,68.44444,1.0,1.0,74.12222,6262.97778,7.33333,63.33333,124.33333,8.22222,1.91852,2.88889,1.88889,22.84444,15.88889,102vC_3
6782.02222,374.85556,523.2,288.94074,7951.52222,14.88889,1.0,4.33333,71.9,6089.97778,7.22222,58.33333,116.77778,6.77778,12.31111,4.88889,1.0,19.51111,12.55556,102vC_4
6078.57778,343.41111,516.2,261.21111,7461.3,129.77778,1.0,1.0,81.23333,5968.97778,6.0,63.55556,112.66667,6.77778,7.51852,7.22222,1.0,24.73333,13.66667,102vC_5
6608.35556,333.3,549.97778,256.89259,7790.3,21.33333,1.0,2.11111,74.67778,5837.75556,7.44444,68.77778,117.11111,7.11111,11.07407,1.33333,2.88889,36.51111,13.55556,102vC_6
6625.46667,439.52222,534.08889,361.05185,8024.96667,31.0,1.11111,1.0,75.9,5727.75556,7.0,66.88889,108.44444,8.0,6.85185,3.55556,2.88889,36.84444,10.88889,102vC_7
6330.8,327.52222,506.31111,312.05185,7392.85556,80.33333,1.11111,1.0,74.01111,5591.42222,6.55556,54.22222,119.0,7.11111,11.42222,8.22222,1.0,31.73333,10.11111,102vC_8
